2024-02-04 11:38:11,591 - cli.py - This is Paynt version 0.1.0.
2024-02-04 11:38:11,591 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/tac24/grid-meet-sl-2fsc/sketch.templ ...
2024-02-04 11:38:11,591 - sketch.py - assuming sketch in PRISM format...
2024-02-04 11:38:11,595 - prism_parser.py - PRISM model type: DTMC
2024-02-04 11:38:11,595 - prism_parser.py - processing hole definitions...
2024-02-04 11:38:11,595 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/tac24/grid-meet-sl-2fsc/sketch.props ...
2024-02-04 11:38:11,597 - prism_parser.py - found the following specification: optimality: R[exp]{"moves"}min=? [F "goal"] 
2024-02-04 11:38:11,597 - jani.py - constructing JANI program...
2024-02-04 11:38:11,601 - jani.py - constructing the quotient...
2024-02-04 11:38:12,998 - jani.py - associating choices of the quotient with hole assignments...
2024-02-04 11:38:13,812 - sketch.py - sketch parsing OK
2024-02-04 11:38:13,813 - sketch.py - converting state rewards 'moves' to state-action rewards
2024-02-04 11:38:13,846 - sketch.py - constructed explicit quotient having 9216 states and 577728 actions
2024-02-04 11:38:13,846 - sketch.py - found the following specification optimality: R[exp]{"moves"}min=? [F "goal"] 
2024-02-04 11:38:14,240 - synthesizer.py - synthesis initiated, design space: 16777216
> progress 20.534%, elapsed 284 s, estimated 1383 s, iters = {MDP: 9505}, opt = 10.729
> progress 20.703%, elapsed 287 s, estimated 1387 s, iters = {MDP: 9655}, opt = 10.729
> progress 20.996%, elapsed 290 s, estimated 1382 s, iters = {MDP: 9920}, opt = 10.729
> progress 21.251%, elapsed 293 s, estimated 1379 s, iters = {MDP: 10188}, opt = 10.729
> progress 21.329%, elapsed 296 s, estimated 1388 s, iters = {MDP: 10424}, opt = 10.729
> progress 22.656%, elapsed 299 s, estimated 1321 s, iters = {MDP: 10591}, opt = 10.729
> progress 22.673%, elapsed 302 s, estimated 1333 s, iters = {MDP: 10750}, opt = 10.729
> progress 22.763%, elapsed 305 s, estimated 1341 s, iters = {MDP: 10890}, opt = 10.729
> progress 22.808%, elapsed 308 s, estimated 1352 s, iters = {MDP: 11092}, opt = 10.729
> progress 22.821%, elapsed 311 s, estimated 1364 s, iters = {MDP: 11298}, opt = 10.729
> progress 22.855%, elapsed 314 s, estimated 1376 s, iters = {MDP: 11537}, opt = 10.729
> progress 22.888%, elapsed 317 s, estimated 1387 s, iters = {MDP: 11828}, opt = 10.729
> progress 24.609%, elapsed 320 s, estimated 1303 s, iters = {MDP: 11947}, opt = 10.729
> progress 27.734%, elapsed 323 s, estimated 1167 s, iters = {MDP: 11972}, opt = 10.729
> progress 33.593%, elapsed 326 s, estimated 973 s, iters = {MDP: 12003}, opt = 10.729
> progress 37.5%, elapsed 330 s, estimated 880 s, iters = {MDP: 12032}, opt = 10.729
> progress 37.542%, elapsed 333 s, estimated 887 s, iters = {MDP: 12045}, opt = 10.729
> progress 39.895%, elapsed 336 s, estimated 843 s, iters = {MDP: 12093}, opt = 10.729
> progress 40.649%, elapsed 339 s, estimated 834 s, iters = {MDP: 12134}, opt = 10.729
> progress 42.187%, elapsed 342 s, estimated 811 s, iters = {MDP: 12166}, opt = 10.729
> progress 43.261%, elapsed 345 s, estimated 798 s, iters = {MDP: 12224}, opt = 10.729
> progress 43.817%, elapsed 348 s, estimated 795 s, iters = {MDP: 12396}, opt = 10.729
> progress 43.908%, elapsed 351 s, estimated 800 s, iters = {MDP: 12691}, opt = 10.729
> progress 44.097%, elapsed 354 s, estimated 803 s, iters = {MDP: 12889}, opt = 10.729
> progress 45.387%, elapsed 357 s, estimated 788 s, iters = {MDP: 12968}, opt = 10.729
> progress 46.093%, elapsed 360 s, estimated 782 s, iters = {MDP: 13028}, opt = 10.729
> progress 46.136%, elapsed 364 s, estimated 789 s, iters = {MDP: 13127}, opt = 10.729
> progress 46.881%, elapsed 367 s, estimated 783 s, iters = {MDP: 13201}, opt = 10.729
> progress 47.668%, elapsed 370 s, estimated 776 s, iters = {MDP: 13286}, opt = 9.77
> progress 47.731%, elapsed 373 s, estimated 781 s, iters = {MDP: 13360}, opt = 9.77
> progress 47.885%, elapsed 376 s, estimated 785 s, iters = {MDP: 13423}, opt = 9.77
> progress 53.125%, elapsed 379 s, estimated 713 s, iters = {MDP: 13447}, opt = 9.77
> progress 57.226%, elapsed 383 s, estimated 670 s, iters = {MDP: 13465}, opt = 9.77
> progress 57.434%, elapsed 386 s, estimated 672 s, iters = {MDP: 13476}, opt = 9.77
> progress 57.495%, elapsed 389 s, estimated 678 s, iters = {MDP: 13488}, opt = 9.77
