2024-01-03 18:53:42,832 - cli.py - This is Paynt version 0.1.0.
2024-01-03 18:53:42,832 - sketch.py - loading sketch from models/mdp/sketches/rover/1000/sketch.templ ...
2024-01-03 18:53:42,832 - sketch.py - assuming sketch in PRISM format...
2024-01-03 18:53:42,834 - prism_parser.py - PRISM model type: MDP
2024-01-03 18:53:42,834 - prism_parser.py - processing hole definitions...
2024-01-03 18:53:42,835 - prism_parser.py - loading properties from models/mdp/sketches/rover/1000/sketch.props ...
2024-01-03 18:53:42,836 - prism_parser.py - found the following specification: constraints: P>=4/5 [F "goal"]; 
2024-01-03 18:53:42,836 - jani.py - constructing JANI program...
2024-01-03 18:53:42,839 - jani.py - constructing the quotient...
2024-01-03 18:53:43,578 - jani.py - associating choices of the quotient with hole assignments...
2024-01-03 18:53:44,210 - sketch.py - sketch parsing OK
2024-01-03 18:53:44,210 - sketch.py - constructed explicit quotient having 17003 states and 518003 actions
2024-01-03 18:53:44,210 - sketch.py - found the following specification constraints: P>=4/5 [F "goal"]; 
2024-01-03 18:53:44,443 - mdp_family.py - associating choices with action labels...
2024-01-03 18:53:44,864 - synthesizer.py - evaluation initiated, design space: 3779136
> Progress 0.286%, elapsed 292 s, estimated 102072 s (28 hours), iters = {MDP: 10827}
> Progress 0.288%, elapsed 295 s, estimated 102327 s (28 hours), iters = {MDP: 10911}
> Progress 0.29%, elapsed 298 s, estimated 102561 s (28 hours), iters = {MDP: 10997}
> Progress 0.293%, elapsed 301 s, estimated 102787 s (28 hours), iters = {MDP: 11084}
> Progress 0.295%, elapsed 304 s, estimated 103040 s (28 hours), iters = {MDP: 11167}
> Progress 0.298%, elapsed 307 s, estimated 102878 s (28 hours), iters = {MDP: 11295}
> Progress 0.301%, elapsed 310 s, estimated 103074 s (28 hours), iters = {MDP: 11384}
> Progress 0.304%, elapsed 313 s, estimated 102910 s (28 hours), iters = {MDP: 11513}
> Progress 0.307%, elapsed 316 s, estimated 103083 s (28 hours), iters = {MDP: 11604}
> Progress 0.309%, elapsed 319 s, estimated 103243 s (28 hours), iters = {MDP: 11697}
> Progress 0.313%, elapsed 322 s, estimated 103044 s (28 hours), iters = {MDP: 11831}
> Progress 0.315%, elapsed 325 s, estimated 103132 s (28 hours), iters = {MDP: 11931}
> Progress 0.318%, elapsed 328 s, estimated 103132 s (28 hours), iters = {MDP: 12041}
> Progress 0.322%, elapsed 331 s, estimated 102924 s (28 hours), iters = {MDP: 12176}
> Progress 0.324%, elapsed 334 s, estimated 102979 s (28 hours), iters = {MDP: 12280}
> Progress 0.327%, elapsed 337 s, estimated 103106 s (28 hours), iters = {MDP: 12375}
> Progress 0.33%, elapsed 340 s, estimated 103074 s (28 hours), iters = {MDP: 12489}
> Progress 0.333%, elapsed 343 s, estimated 103184 s (28 hours), iters = {MDP: 12586}
> Progress 0.335%, elapsed 346 s, estimated 103237 s (28 hours), iters = {MDP: 12690}
> Progress 0.339%, elapsed 349 s, estimated 103053 s (28 hours), iters = {MDP: 12823}
> Progress 0.342%, elapsed 352 s, estimated 103073 s (28 hours), iters = {MDP: 12931}
> Progress 0.344%, elapsed 355 s, estimated 103156 s (28 hours), iters = {MDP: 13031}
> Progress 0.348%, elapsed 358 s, estimated 102986 s (28 hours), iters = {MDP: 13163}
> Progress 0.351%, elapsed 361 s, estimated 102960 s (28 hours), iters = {MDP: 13277}
> Progress 0.353%, elapsed 364 s, estimated 103135 s (28 hours), iters = {MDP: 13365}
> Progress 0.356%, elapsed 367 s, estimated 103106 s (28 hours), iters = {MDP: 13479}
> Progress 0.359%, elapsed 370 s, estimated 103118 s (28 hours), iters = {MDP: 13588}
> Progress 0.362%, elapsed 373 s, estimated 103204 s (28 hours), iters = {MDP: 13687}
> Progress 0.365%, elapsed 376 s, estimated 103029 s (28 hours), iters = {MDP: 13821}
> Progress 0.368%, elapsed 379 s, estimated 102935 s (28 hours), iters = {MDP: 13944}
> Progress 0.372%, elapsed 382 s, estimated 102814 s (28 hours), iters = {MDP: 14071}
> Progress 0.374%, elapsed 385 s, estimated 102882 s (28 hours), iters = {MDP: 14172}
> Progress 0.378%, elapsed 388 s, estimated 102826 s (28 hours), iters = {MDP: 14290}
> Progress 0.381%, elapsed 391 s, estimated 102800 s (28 hours), iters = {MDP: 14404}
> Progress 0.383%, elapsed 394 s, estimated 102920 s (28 hours), iters = {MDP: 14498}
