2024-01-03 18:53:07,203 - cli.py - This is Paynt version 0.1.0.
2024-01-03 18:53:07,203 - sketch.py - loading sketch from models/mdp/sketches/rover/100-big/sketch.templ ...
2024-01-03 18:53:07,203 - sketch.py - assuming sketch in PRISM format...
2024-01-03 18:53:07,205 - prism_parser.py - PRISM model type: MDP
2024-01-03 18:53:07,205 - prism_parser.py - processing hole definitions...
2024-01-03 18:53:07,206 - prism_parser.py - loading properties from models/mdp/sketches/rover/100-big/sketch.props ...
2024-01-03 18:53:07,207 - prism_parser.py - found the following specification: constraints: P>=4/5 [F "goal"]; 
2024-01-03 18:53:07,207 - jani.py - constructing JANI program...
2024-01-03 18:53:07,210 - jani.py - constructing the quotient...
2024-01-03 18:53:07,320 - jani.py - associating choices of the quotient with hole assignments...
2024-01-03 18:53:07,367 - sketch.py - sketch parsing OK
2024-01-03 18:53:07,367 - sketch.py - constructed explicit quotient having 1703 states and 50203 actions
2024-01-03 18:53:07,367 - sketch.py - found the following specification constraints: P>=4/5 [F "goal"]; 
2024-01-03 18:53:07,375 - mdp_family.py - associating choices with action labels...
2024-01-03 18:53:07,425 - synthesizer.py - evaluation initiated, design space: 24300000
> Progress 0.726%, elapsed 312 s, estimated 42970 s (11 hours), iters = {MDP: 176510}
> Progress 0.73%, elapsed 315 s, estimated 43116 s (11 hours), iters = {MDP: 177608}
> Progress 0.735%, elapsed 318 s, estimated 43254 s (12 hours), iters = {MDP: 178728}
> Progress 0.74%, elapsed 321 s, estimated 43395 s (12 hours), iters = {MDP: 179825}
> Progress 0.745%, elapsed 324 s, estimated 43465 s (12 hours), iters = {MDP: 181215}
> Progress 0.752%, elapsed 327 s, estimated 43489 s (12 hours), iters = {MDP: 182789}
> Progress 0.758%, elapsed 330 s, estimated 43501 s (12 hours), iters = {MDP: 184416}
> Progress 0.765%, elapsed 333 s, estimated 43541 s (12 hours), iters = {MDP: 185923}
> Progress 0.771%, elapsed 336 s, estimated 43562 s (12 hours), iters = {MDP: 187505}
> Progress 0.778%, elapsed 339 s, estimated 43584 s (12 hours), iters = {MDP: 189084}
> Progress 0.784%, elapsed 342 s, estimated 43601 s (12 hours), iters = {MDP: 190684}
> Progress 0.791%, elapsed 345 s, estimated 43621 s (12 hours), iters = {MDP: 192267}
> Progress 0.797%, elapsed 348 s, estimated 43653 s (12 hours), iters = {MDP: 193798}
> Progress 0.804%, elapsed 351 s, estimated 43660 s (12 hours), iters = {MDP: 195437}
> Progress 0.81%, elapsed 354 s, estimated 43684 s (12 hours), iters = {MDP: 197001}
> Progress 0.817%, elapsed 357 s, estimated 43702 s (12 hours), iters = {MDP: 198585}
> Progress 0.823%, elapsed 360 s, estimated 43743 s (12 hours), iters = {MDP: 200069}
> Progress 0.829%, elapsed 363 s, estimated 43773 s (12 hours), iters = {MDP: 201595}
> Progress 0.835%, elapsed 366 s, estimated 43830 s (12 hours), iters = {MDP: 202996}
> Progress 0.84%, elapsed 369 s, estimated 43924 s (12 hours), iters = {MDP: 204223}
> Progress 0.845%, elapsed 372 s, estimated 44021 s (12 hours), iters = {MDP: 205433}
> Progress 0.85%, elapsed 375 s, estimated 44091 s (12 hours), iters = {MDP: 206760}
> Progress 0.858%, elapsed 378 s, estimated 44063 s (12 hours), iters = {MDP: 208547}
> Progress 0.865%, elapsed 381 s, estimated 44043 s (12 hours), iters = {MDP: 210297}
> Progress 0.87%, elapsed 384 s, estimated 44127 s (12 hours), iters = {MDP: 211548}
> Progress 0.875%, elapsed 387 s, estimated 44207 s (12 hours), iters = {MDP: 212813}
> Progress 0.881%, elapsed 390 s, estimated 44284 s (12 hours), iters = {MDP: 214090}
> Progress 0.886%, elapsed 393 s, estimated 44374 s (12 hours), iters = {MDP: 215299}
> Progress 0.891%, elapsed 396 s, estimated 44443 s (12 hours), iters = {MDP: 216608}
> Progress 0.897%, elapsed 399 s, estimated 44495 s (12 hours), iters = {MDP: 217991}
> Progress 0.904%, elapsed 402 s, estimated 44457 s (12 hours), iters = {MDP: 219819}
> Progress 0.911%, elapsed 405 s, estimated 44426 s (12 hours), iters = {MDP: 221613}
> Progress 0.917%, elapsed 408 s, estimated 44497 s (12 hours), iters = {MDP: 222902}
> Progress 0.922%, elapsed 411 s, estimated 44567 s (12 hours), iters = {MDP: 224188}
> Progress 0.928%, elapsed 414 s, estimated 44614 s (12 hours), iters = {MDP: 225586}
> Progress 0.934%, elapsed 417 s, estimated 44634 s (12 hours), iters = {MDP: 227120}
> Progress 0.941%, elapsed 420 s, estimated 44638 s (12 hours), iters = {MDP: 228733}
> Progress 0.949%, elapsed 423 s, estimated 44558 s (12 hours), iters = {MDP: 230780}
> Progress 0.958%, elapsed 426 s, estimated 44464 s (12 hours), iters = {MDP: 232908}
> Progress 0.965%, elapsed 429 s, estimated 44464 s (12 hours), iters = {MDP: 234547}
> Progress 0.971%, elapsed 432 s, estimated 44469 s (12 hours), iters = {MDP: 236160}
> Progress 0.98%, elapsed 435 s, estimated 44394 s (12 hours), iters = {MDP: 238205}
> Progress 0.988%, elapsed 438 s, estimated 44306 s (12 hours), iters = {MDP: 240320}
> Progress 0.995%, elapsed 441 s, estimated 44303 s (12 hours), iters = {MDP: 241982}
> Progress 1.002%, elapsed 444 s, estimated 44305 s (12 hours), iters = {MDP: 243620}
> Progress 1.01%, elapsed 447 s, estimated 44247 s (12 hours), iters = {MDP: 245587}
> Progress 1.019%, elapsed 450 s, estimated 44168 s (12 hours), iters = {MDP: 247675}
> Progress 1.03%, elapsed 453 s, estimated 43990 s (12 hours), iters = {MDP: 250337}
> Progress 1.037%, elapsed 456 s, estimated 43969 s (12 hours), iters = {MDP: 252116}
> Progress 1.043%, elapsed 459 s, estimated 44023 s (12 hours), iters = {MDP: 253460}
> Progress 1.048%, elapsed 462 s, estimated 44084 s (12 hours), iters = {MDP: 254767}
> Progress 1.054%, elapsed 465 s, estimated 44131 s (12 hours), iters = {MDP: 256150}
> Progress 1.059%, elapsed 468 s, estimated 44174 s (12 hours), iters = {MDP: 257548}
> Progress 1.065%, elapsed 471 s, estimated 44218 s (12 hours), iters = {MDP: 258944}
> Progress 1.071%, elapsed 474 s, estimated 44255 s (12 hours), iters = {MDP: 260371}
> Progress 1.077%, elapsed 477 s, estimated 44285 s (12 hours), iters = {MDP: 261844}
> Progress 1.083%, elapsed 480 s, estimated 44308 s (12 hours), iters = {MDP: 263355}
> Progress 1.09%, elapsed 483 s, estimated 44327 s (12 hours), iters = {MDP: 264890}
> Progress 1.096%, elapsed 486 s, estimated 44327 s (12 hours), iters = {MDP: 266533}
> Progress 1.107%, elapsed 489 s, estimated 44165 s (12 hours), iters = {MDP: 269159}
> Progress 1.119%, elapsed 492 s, estimated 43955 s (12 hours), iters = {MDP: 272108}
> Progress 1.132%, elapsed 495 s, estimated 43740 s (12 hours), iters = {MDP: 275110}
> Progress 1.144%, elapsed 498 s, estimated 43535 s (12 hours), iters = {MDP: 278082}
> Progress 1.157%, elapsed 501 s, estimated 43293 s (12 hours), iters = {MDP: 281320}
> Progress 1.171%, elapsed 504 s, estimated 43055 s (11 hours), iters = {MDP: 284565}
> Progress 1.184%, elapsed 507 s, estimated 42803 s (11 hours), iters = {MDP: 287944}
> Progress 1.199%, elapsed 510 s, estimated 42539 s (11 hours), iters = {MDP: 291446}
> Progress 1.206%, elapsed 513 s, estimated 42522 s (11 hours), iters = {MDP: 293281}
> Progress 1.211%, elapsed 516 s, estimated 42602 s (11 hours), iters = {MDP: 294437}
> Progress 1.216%, elapsed 519 s, estimated 42682 s (11 hours), iters = {MDP: 295599}
> Progress 1.221%, elapsed 522 s, estimated 42765 s (11 hours), iters = {MDP: 296725}
> Progress 1.225%, elapsed 525 s, estimated 42847 s (11 hours), iters = {MDP: 297864}
> Progress 1.23%, elapsed 528 s, estimated 42923 s (11 hours), iters = {MDP: 299032}
> Progress 1.235%, elapsed 531 s, estimated 42997 s (11 hours), iters = {MDP: 300214}
> Progress 1.24%, elapsed 534 s, estimated 43076 s (11 hours), iters = {MDP: 301360}
> Progress 1.244%, elapsed 537 s, estimated 43157 s (11 hours), iters = {MDP: 302486}
> Progress 1.249%, elapsed 540 s, estimated 43234 s (12 hours), iters = {MDP: 303634}
> Progress 1.254%, elapsed 543 s, estimated 43311 s (12 hours), iters = {MDP: 304777}
> Progress 1.258%, elapsed 546 s, estimated 43388 s (12 hours), iters = {MDP: 305917}
