2024-01-03 18:52:16,378 - cli.py - This is Paynt version 0.1.0.
2024-01-03 18:52:16,378 - sketch.py - loading sketch from models/mdp/sketches/dpm/switch-big-q10/sketch.templ ...
2024-01-03 18:52:16,378 - sketch.py - assuming sketch in PRISM format...
2024-01-03 18:52:16,400 - prism_parser.py - PRISM model type: MDP
2024-01-03 18:52:16,400 - prism_parser.py - processing hole definitions...
2024-01-03 18:52:16,401 - prism_parser.py - loading properties from models/mdp/sketches/dpm/switch-big-q10/sketch.props ...
2024-01-03 18:52:16,406 - prism_parser.py - found the following specification: constraints: P>=9/10 [F ((bat = 0) & (lost = 0))]; 
2024-01-03 18:52:16,407 - jani.py - constructing JANI program...
2024-01-03 18:52:16,418 - jani.py - constructing the quotient...
2024-01-03 18:52:16,907 - jani.py - associating choices of the quotient with hole assignments...
2024-01-03 18:52:17,057 - sketch.py - sketch parsing OK
2024-01-03 18:52:17,058 - sketch.py - constructed explicit quotient having 8767 states and 117194 actions
2024-01-03 18:52:17,058 - sketch.py - found the following specification constraints: P>=9/10 [F ((bat = 0) & (lost = 0))]; 
2024-01-03 18:52:17,140 - mdp_family.py - associating choices with action labels...
2024-01-03 18:52:17,262 - synthesizer.py - evaluation initiated, design space: 131220
> Progress 39.741%, elapsed 643 s, estimated 1618 s, iters = {MDP: 52150}
> Progress 39.907%, elapsed 646 s, estimated 1619 s, iters = {MDP: 52367}
> Progress 40.086%, elapsed 649 s, estimated 1620 s, iters = {MDP: 52603}
> Progress 40.275%, elapsed 652 s, estimated 1619 s, iters = {MDP: 52851}
> Progress 40.474%, elapsed 655 s, estimated 1619 s, iters = {MDP: 53112}
> Progress 40.683%, elapsed 658 s, estimated 1618 s, iters = {MDP: 53386}
> Progress 40.892%, elapsed 661 s, estimated 1617 s, iters = {MDP: 53660}
> Progress 41.097%, elapsed 664 s, estimated 1616 s, iters = {MDP: 53929}
> Progress 41.299%, elapsed 667 s, estimated 1616 s, iters = {MDP: 54194}
> Progress 41.507%, elapsed 670 s, estimated 1615 s, iters = {MDP: 54467}
> Progress 41.717%, elapsed 673 s, estimated 1614 s, iters = {MDP: 54743}
> Progress 41.921%, elapsed 676 s, estimated 1613 s, iters = {MDP: 55011}
> Progress 42.132%, elapsed 679 s, estimated 1612 s, iters = {MDP: 55287}
> Progress 42.313%, elapsed 682 s, estimated 1612 s, iters = {MDP: 55525}
> Progress 42.507%, elapsed 685 s, estimated 1612 s, iters = {MDP: 55779}
> Progress 42.707%, elapsed 688 s, estimated 1612 s, iters = {MDP: 56042}
> Progress 42.914%, elapsed 691 s, estimated 1611 s, iters = {MDP: 56314}
> Progress 43.123%, elapsed 694 s, estimated 1610 s, iters = {MDP: 56588}
> Progress 43.324%, elapsed 697 s, estimated 1609 s, iters = {MDP: 56851}
> Progress 43.527%, elapsed 700 s, estimated 1609 s, iters = {MDP: 57118}
> Progress 43.731%, elapsed 703 s, estimated 1608 s, iters = {MDP: 57385}
> Progress 43.933%, elapsed 706 s, estimated 1608 s, iters = {MDP: 57651}
> Progress 44.141%, elapsed 709 s, estimated 1607 s, iters = {MDP: 57924}
> Progress 44.334%, elapsed 712 s, estimated 1607 s, iters = {MDP: 58177}
> Progress 44.522%, elapsed 715 s, estimated 1607 s, iters = {MDP: 58423}
> Progress 44.716%, elapsed 718 s, estimated 1606 s, iters = {MDP: 58678}
> Progress 44.924%, elapsed 721 s, estimated 1606 s, iters = {MDP: 58951}
> Progress 45.134%, elapsed 724 s, estimated 1605 s, iters = {MDP: 59226}
> Progress 45.34%, elapsed 727 s, estimated 1604 s, iters = {MDP: 59497}
> Progress 45.554%, elapsed 730 s, estimated 1603 s, iters = {MDP: 59778}
> Progress 45.756%, elapsed 733 s, estimated 1603 s, iters = {MDP: 60043}
> Progress 45.941%, elapsed 736 s, estimated 1603 s, iters = {MDP: 60286}
> Progress 46.117%, elapsed 739 s, estimated 1603 s, iters = {MDP: 60516}
> Progress 46.303%, elapsed 742 s, estimated 1603 s, iters = {MDP: 60761}
> Progress 46.499%, elapsed 745 s, estimated 1603 s, iters = {MDP: 61018}
> Progress 46.689%, elapsed 748 s, estimated 1603 s, iters = {MDP: 61267}
> Progress 46.883%, elapsed 751 s, estimated 1603 s, iters = {MDP: 61522}
> Progress 47.078%, elapsed 754 s, estimated 1602 s, iters = {MDP: 61778}
> Progress 47.266%, elapsed 757 s, estimated 1602 s, iters = {MDP: 62024}
> Progress 47.447%, elapsed 760 s, estimated 1603 s, iters = {MDP: 62261}
> Progress 47.635%, elapsed 763 s, estimated 1603 s, iters = {MDP: 62508}
> Progress 47.831%, elapsed 766 s, estimated 1602 s, iters = {MDP: 62765}
> Progress 48.025%, elapsed 769 s, estimated 1602 s, iters = {MDP: 63020}
> Progress 48.22%, elapsed 772 s, estimated 1602 s, iters = {MDP: 63276}
> Progress 48.414%, elapsed 775 s, estimated 1602 s, iters = {MDP: 63530}
> Progress 48.604%, elapsed 778 s, estimated 1602 s, iters = {MDP: 63780}
> Progress 48.798%, elapsed 781 s, estimated 1601 s, iters = {MDP: 64035}
> Progress 48.994%, elapsed 784 s, estimated 1601 s, iters = {MDP: 64292}
> Progress 49.181%, elapsed 787 s, estimated 1601 s, iters = {MDP: 64537}
> Progress 49.362%, elapsed 790 s, estimated 1601 s, iters = {MDP: 64774}
> Progress 49.555%, elapsed 793 s, estimated 1601 s, iters = {MDP: 65028}
> Progress 49.752%, elapsed 796 s, estimated 1601 s, iters = {MDP: 65286}
> Progress 49.948%, elapsed 799 s, estimated 1601 s, iters = {MDP: 65544}
> Progress 50.144%, elapsed 802 s, estimated 1600 s, iters = {MDP: 65801}
> Progress 50.345%, elapsed 805 s, estimated 1600 s, iters = {MDP: 66064}
> Progress 50.541%, elapsed 808 s, estimated 1600 s, iters = {MDP: 66322}
> Progress 50.739%, elapsed 811 s, estimated 1599 s, iters = {MDP: 66582}
> Progress 50.941%, elapsed 814 s, estimated 1599 s, iters = {MDP: 66847}
> Progress 51.135%, elapsed 817 s, estimated 1599 s, iters = {MDP: 67101}
> Progress 51.319%, elapsed 820 s, estimated 1599 s, iters = {MDP: 67342}
> Progress 51.515%, elapsed 823 s, estimated 1599 s, iters = {MDP: 67599}
> Progress 51.715%, elapsed 826 s, estimated 1598 s, iters = {MDP: 67862}
> Progress 51.918%, elapsed 829 s, estimated 1598 s, iters = {MDP: 68128}
> Progress 52.117%, elapsed 832 s, estimated 1597 s, iters = {MDP: 68390}
> Progress 52.315%, elapsed 835 s, estimated 1597 s, iters = {MDP: 68649}
> Progress 52.51%, elapsed 838 s, estimated 1597 s, iters = {MDP: 68905}
> Progress 52.703%, elapsed 841 s, estimated 1597 s, iters = {MDP: 69159}
