2024-01-04 19:53:50,081 - cli.py - This is Paynt version 0.1.0.
2024-01-04 19:53:50,081 - sketch.py - loading sketch from models/mdp/sketches/uav/roz-big/sketch.templ ...
2024-01-04 19:53:50,081 - sketch.py - assuming sketch in PRISM format...
2024-01-04 19:53:50,089 - prism_parser.py - PRISM model type: MDP
2024-01-04 19:53:50,089 - prism_parser.py - processing hole definitions...
2024-01-04 19:53:50,090 - prism_parser.py - loading properties from models/mdp/sketches/uav/roz-big/sketch.props ...
2024-01-04 19:53:50,091 - prism_parser.py - found the following specification: constraints: P>=3/4 [F ((w1 & w2) & w6)]; 
2024-01-04 19:53:50,091 - jani.py - constructing JANI program...
2024-01-04 19:53:50,102 - jani.py - constructing the quotient...
2024-01-04 19:53:50,821 - jani.py - associating choices of the quotient with hole assignments...
2024-01-04 19:53:50,986 - sketch.py - sketch parsing OK
2024-01-04 19:53:50,987 - sketch.py - constructed explicit quotient having 17927 states and 192109 actions
2024-01-04 19:53:50,987 - sketch.py - found the following specification constraints: P>=3/4 [F ((w1 & w2) & w6)]; 
2024-01-04 19:53:51,086 - mdp_family.py - associating choices with action labels...
2024-01-04 19:53:51,342 - synthesizer.py - evaluation initiated, design space: 40500
> Progress 62.296%, elapsed 394 s, estimated 633 s, iters = {MDP: 25231}
> Progress 62.548%, elapsed 397 s, estimated 635 s, iters = {MDP: 25333}
> Progress 62.795%, elapsed 400 s, estimated 637 s, iters = {MDP: 25433}
> Progress 62.965%, elapsed 403 s, estimated 640 s, iters = {MDP: 25502}
> Progress 63.222%, elapsed 406 s, estimated 642 s, iters = {MDP: 25606}
> Progress 63.476%, elapsed 409 s, estimated 645 s, iters = {MDP: 25709}
> Progress 63.728%, elapsed 412 s, estimated 647 s, iters = {MDP: 25811}
> Progress 63.98%, elapsed 415 s, estimated 649 s, iters = {MDP: 25913}
> Progress 64.232%, elapsed 418 s, estimated 651 s, iters = {MDP: 26015}
> Progress 64.483%, elapsed 421 s, estimated 653 s, iters = {MDP: 26117}
> Progress 64.723%, elapsed 424 s, estimated 655 s, iters = {MDP: 26214}
> Progress 64.958%, elapsed 427 s, estimated 658 s, iters = {MDP: 26309}
> Progress 65.172%, elapsed 430 s, estimated 660 s, iters = {MDP: 26396}
> Progress 65.362%, elapsed 433 s, estimated 663 s, iters = {MDP: 26473}
> Progress 65.577%, elapsed 436 s, estimated 665 s, iters = {MDP: 26560}
> Progress 65.775%, elapsed 439 s, estimated 668 s, iters = {MDP: 26640}
> Progress 65.962%, elapsed 442 s, estimated 671 s, iters = {MDP: 26716}
> Progress 66.162%, elapsed 445 s, estimated 673 s, iters = {MDP: 26797}
> Progress 66.338%, elapsed 448 s, estimated 676 s, iters = {MDP: 26868}
> Progress 66.511%, elapsed 451 s, estimated 679 s, iters = {MDP: 26938}
> Progress 66.674%, elapsed 454 s, estimated 682 s, iters = {MDP: 27004}
> Progress 66.846%, elapsed 457 s, estimated 684 s, iters = {MDP: 27074}
> Progress 66.992%, elapsed 460 s, estimated 687 s, iters = {MDP: 27133}
> Progress 67.143%, elapsed 463 s, estimated 690 s, iters = {MDP: 27194}
> Progress 67.308%, elapsed 466 s, estimated 693 s, iters = {MDP: 27261}
> Progress 67.479%, elapsed 469 s, estimated 696 s, iters = {MDP: 27330}
> Progress 67.651%, elapsed 472 s, estimated 698 s, iters = {MDP: 27400}
> Progress 67.837%, elapsed 475 s, estimated 701 s, iters = {MDP: 27475}
> Progress 68.024%, elapsed 478 s, estimated 703 s, iters = {MDP: 27551}
> Progress 68.217%, elapsed 481 s, estimated 706 s, iters = {MDP: 27629}
> Progress 68.407%, elapsed 484 s, estimated 708 s, iters = {MDP: 27706}
> Progress 68.595%, elapsed 487 s, estimated 711 s, iters = {MDP: 27782}
> Progress 68.782%, elapsed 490 s, estimated 713 s, iters = {MDP: 27858}
> Progress 68.972%, elapsed 493 s, estimated 716 s, iters = {MDP: 27935}
> Progress 69.16%, elapsed 496 s, estimated 718 s, iters = {MDP: 28011}
> Progress 69.348%, elapsed 499 s, estimated 720 s, iters = {MDP: 28087}
> Progress 69.535%, elapsed 503 s, estimated 723 s, iters = {MDP: 28163}
> Progress 69.73%, elapsed 506 s, estimated 725 s, iters = {MDP: 28242}
> Progress 69.923%, elapsed 509 s, estimated 728 s, iters = {MDP: 28320}
> Progress 70.098%, elapsed 512 s, estimated 730 s, iters = {MDP: 28391}
> Progress 70.259%, elapsed 515 s, estimated 733 s, iters = {MDP: 28456}
> Progress 70.414%, elapsed 518 s, estimated 735 s, iters = {MDP: 28519}
> Progress 70.572%, elapsed 521 s, estimated 738 s, iters = {MDP: 28583}
> Progress 70.733%, elapsed 524 s, estimated 741 s, iters = {MDP: 28648}
> Progress 70.893%, elapsed 527 s, estimated 743 s, iters = {MDP: 28713}
> Progress 71.054%, elapsed 530 s, estimated 746 s, iters = {MDP: 28778}
> Progress 71.224%, elapsed 533 s, estimated 748 s, iters = {MDP: 28847}
> Progress 71.397%, elapsed 536 s, estimated 751 s, iters = {MDP: 28917}
> Progress 71.567%, elapsed 539 s, estimated 753 s, iters = {MDP: 28986}
> Progress 71.735%, elapsed 542 s, estimated 756 s, iters = {MDP: 29054}
> Progress 71.903%, elapsed 545 s, estimated 758 s, iters = {MDP: 29122}
> Progress 72.069%, elapsed 548 s, estimated 760 s, iters = {MDP: 29189}
> Progress 72.239%, elapsed 551 s, estimated 763 s, iters = {MDP: 29258}
> Progress 72.412%, elapsed 554 s, estimated 765 s, iters = {MDP: 29328}
> Progress 72.585%, elapsed 557 s, estimated 768 s, iters = {MDP: 29398}
> Progress 72.76%, elapsed 560 s, estimated 770 s, iters = {MDP: 29469}
> Progress 72.933%, elapsed 563 s, estimated 772 s, iters = {MDP: 29539}
> Progress 73.111%, elapsed 566 s, estimated 774 s, iters = {MDP: 29611}
> Progress 73.286%, elapsed 569 s, estimated 777 s, iters = {MDP: 29682}
> Progress 73.461%, elapsed 572 s, estimated 779 s, iters = {MDP: 29753}
> Progress 73.634%, elapsed 575 s, estimated 781 s, iters = {MDP: 29823}
> Progress 73.802%, elapsed 578 s, estimated 784 s, iters = {MDP: 29891}
> Progress 73.972%, elapsed 581 s, estimated 786 s, iters = {MDP: 29960}
> Progress 74.15%, elapsed 584 s, estimated 788 s, iters = {MDP: 30032}
> Progress 74.328%, elapsed 587 s, estimated 790 s, iters = {MDP: 30104}
> Progress 74.503%, elapsed 590 s, estimated 792 s, iters = {MDP: 30175}
> Progress 74.676%, elapsed 593 s, estimated 795 s, iters = {MDP: 30245}
> Progress 74.851%, elapsed 596 s, estimated 797 s, iters = {MDP: 30316}
> Progress 75.022%, elapsed 599 s, estimated 799 s, iters = {MDP: 30385}
> Progress 75.172%, elapsed 602 s, estimated 801 s, iters = {MDP: 30446}
