2024-01-04 20:01:16,072 - cli.py - This is Paynt version 0.1.0.
2024-01-04 20:01:16,072 - sketch.py - loading sketch from models/mdp/sketches/uav/operator-big/sketch.templ ...
2024-01-04 20:01:16,072 - sketch.py - assuming sketch in PRISM format...
2024-01-04 20:01:16,080 - prism_parser.py - PRISM model type: MDP
2024-01-04 20:01:16,080 - prism_parser.py - processing hole definitions...
2024-01-04 20:01:16,080 - prism_parser.py - loading properties from models/mdp/sketches/uav/operator-big/sketch.props ...
2024-01-04 20:01:16,081 - prism_parser.py - found the following specification: constraints: P>=4/5 [F ((w1 & w2) & w6)]; 
2024-01-04 20:01:16,081 - jani.py - constructing JANI program...
2024-01-04 20:01:16,119 - jani.py - constructing the quotient...
2024-01-04 20:01:16,745 - jani.py - associating choices of the quotient with hole assignments...
2024-01-04 20:01:16,947 - sketch.py - sketch parsing OK
2024-01-04 20:01:16,948 - sketch.py - constructed explicit quotient having 17927 states and 170585 actions
2024-01-04 20:01:16,948 - sketch.py - found the following specification constraints: P>=4/5 [F ((w1 & w2) & w6)]; 
2024-01-04 20:01:17,033 - mdp_family.py - associating choices with action labels...
2024-01-04 20:01:17,278 - synthesizer.py - evaluation initiated, design space: 40000
> Progress 77.602%, elapsed 621 s, estimated 800 s, iters = {MDP: 31042}
> Progress 77.77%, elapsed 624 s, estimated 802 s, iters = {MDP: 31109}
> Progress 77.94%, elapsed 627 s, estimated 804 s, iters = {MDP: 31177}
> Progress 78.105%, elapsed 630 s, estimated 806 s, iters = {MDP: 31243}
> Progress 78.272%, elapsed 633 s, estimated 808 s, iters = {MDP: 31310}
> Progress 78.442%, elapsed 636 s, estimated 811 s, iters = {MDP: 31378}
> Progress 78.607%, elapsed 639 s, estimated 813 s, iters = {MDP: 31444}
> Progress 78.772%, elapsed 642 s, estimated 815 s, iters = {MDP: 31510}
> Progress 78.937%, elapsed 645 s, estimated 817 s, iters = {MDP: 31576}
> Progress 79.105%, elapsed 648 s, estimated 819 s, iters = {MDP: 31643}
> Progress 79.275%, elapsed 651 s, estimated 821 s, iters = {MDP: 31711}
> Progress 79.445%, elapsed 654 s, estimated 823 s, iters = {MDP: 31779}
> Progress 79.61%, elapsed 657 s, estimated 825 s, iters = {MDP: 31845}
> Progress 79.777%, elapsed 660 s, estimated 827 s, iters = {MDP: 31912}
> Progress 79.947%, elapsed 663 s, estimated 829 s, iters = {MDP: 31980}
> Progress 80.097%, elapsed 666 s, estimated 831 s, iters = {MDP: 32040}
> Progress 80.237%, elapsed 669 s, estimated 834 s, iters = {MDP: 32096}
> Progress 80.377%, elapsed 672 s, estimated 836 s, iters = {MDP: 32152}
> Progress 80.52%, elapsed 675 s, estimated 838 s, iters = {MDP: 32209}
> Progress 80.667%, elapsed 678 s, estimated 841 s, iters = {MDP: 32268}
> Progress 80.81%, elapsed 681 s, estimated 843 s, iters = {MDP: 32325}
> Progress 80.96%, elapsed 684 s, estimated 845 s, iters = {MDP: 32385}
> Progress 81.112%, elapsed 687 s, estimated 847 s, iters = {MDP: 32446}
> Progress 81.267%, elapsed 690 s, estimated 849 s, iters = {MDP: 32508}
> Progress 81.422%, elapsed 693 s, estimated 851 s, iters = {MDP: 32570}
> Progress 81.575%, elapsed 696 s, estimated 854 s, iters = {MDP: 32631}
> Progress 81.73%, elapsed 699 s, estimated 856 s, iters = {MDP: 32693}
> Progress 81.882%, elapsed 702 s, estimated 858 s, iters = {MDP: 32754}
> Progress 82.037%, elapsed 705 s, estimated 860 s, iters = {MDP: 32816}
> Progress 82.195%, elapsed 708 s, estimated 862 s, iters = {MDP: 32879}
> Progress 82.352%, elapsed 711 s, estimated 864 s, iters = {MDP: 32942}
> Progress 82.51%, elapsed 714 s, estimated 866 s, iters = {MDP: 33005}
> Progress 82.667%, elapsed 717 s, estimated 868 s, iters = {MDP: 33068}
> Progress 82.83%, elapsed 720 s, estimated 870 s, iters = {MDP: 33133}
> Progress 82.987%, elapsed 723 s, estimated 872 s, iters = {MDP: 33196}
> Progress 83.147%, elapsed 726 s, estimated 874 s, iters = {MDP: 33260}
> Progress 83.305%, elapsed 729 s, estimated 876 s, iters = {MDP: 33323}
> Progress 83.46%, elapsed 732 s, estimated 878 s, iters = {MDP: 33385}
> Progress 83.62%, elapsed 735 s, estimated 880 s, iters = {MDP: 33449}
> Progress 83.785%, elapsed 739 s, estimated 882 s, iters = {MDP: 33515}
> Progress 83.95%, elapsed 742 s, estimated 883 s, iters = {MDP: 33581}
> Progress 84.11%, elapsed 745 s, estimated 885 s, iters = {MDP: 33645}
> Progress 84.27%, elapsed 748 s, estimated 887 s, iters = {MDP: 33709}
> Progress 84.43%, elapsed 751 s, estimated 889 s, iters = {MDP: 33773}
> Progress 84.59%, elapsed 754 s, estimated 891 s, iters = {MDP: 33837}
> Progress 84.752%, elapsed 757 s, estimated 893 s, iters = {MDP: 33902}
> Progress 84.912%, elapsed 760 s, estimated 895 s, iters = {MDP: 33966}
> Progress 85.052%, elapsed 763 s, estimated 897 s, iters = {MDP: 34022}
> Progress 85.192%, elapsed 766 s, estimated 899 s, iters = {MDP: 34078}
> Progress 85.332%, elapsed 769 s, estimated 901 s, iters = {MDP: 34134}
> Progress 85.475%, elapsed 772 s, estimated 903 s, iters = {MDP: 34191}
> Progress 85.615%, elapsed 775 s, estimated 905 s, iters = {MDP: 34247}
> Progress 85.755%, elapsed 778 s, estimated 907 s, iters = {MDP: 34303}
> Progress 85.897%, elapsed 781 s, estimated 909 s, iters = {MDP: 34360}
> Progress 86.04%, elapsed 784 s, estimated 911 s, iters = {MDP: 34417}
> Progress 86.187%, elapsed 787 s, estimated 913 s, iters = {MDP: 34476}
> Progress 86.33%, elapsed 790 s, estimated 915 s, iters = {MDP: 34533}
> Progress 86.475%, elapsed 793 s, estimated 917 s, iters = {MDP: 34591}
> Progress 86.62%, elapsed 796 s, estimated 919 s, iters = {MDP: 34649}
> Progress 86.772%, elapsed 799 s, estimated 921 s, iters = {MDP: 34710}
> Progress 86.925%, elapsed 802 s, estimated 923 s, iters = {MDP: 34771}
> Progress 87.072%, elapsed 805 s, estimated 925 s, iters = {MDP: 34830}
> Progress 87.222%, elapsed 808 s, estimated 927 s, iters = {MDP: 34890}
> Progress 87.372%, elapsed 811 s, estimated 928 s, iters = {MDP: 34950}
> Progress 87.522%, elapsed 814 s, estimated 930 s, iters = {MDP: 35010}
> Progress 87.677%, elapsed 817 s, estimated 932 s, iters = {MDP: 35072}
> Progress 87.827%, elapsed 820 s, estimated 934 s, iters = {MDP: 35132}
> Progress 87.977%, elapsed 823 s, estimated 936 s, iters = {MDP: 35192}
> Progress 88.125%, elapsed 826 s, estimated 938 s, iters = {MDP: 35251}
> Progress 88.277%, elapsed 829 s, estimated 939 s, iters = {MDP: 35312}
> Progress 88.43%, elapsed 832 s, estimated 941 s, iters = {MDP: 35373}
> Progress 88.582%, elapsed 835 s, estimated 943 s, iters = {MDP: 35434}
> Progress 88.735%, elapsed 838 s, estimated 945 s, iters = {MDP: 35495}
> Progress 88.887%, elapsed 841 s, estimated 947 s, iters = {MDP: 35556}
> Progress 89.04%, elapsed 844 s, estimated 948 s, iters = {MDP: 35617}
> Progress 89.185%, elapsed 847 s, estimated 950 s, iters = {MDP: 35675}
> Progress 89.325%, elapsed 850 s, estimated 952 s, iters = {MDP: 35731}
> Progress 89.467%, elapsed 853 s, estimated 954 s, iters = {MDP: 35788}
> Progress 89.615%, elapsed 856 s, estimated 956 s, iters = {MDP: 35847}
> Progress 89.765%, elapsed 859 s, estimated 958 s, iters = {MDP: 35907}
> Progress 89.912%, elapsed 862 s, estimated 959 s, iters = {MDP: 35966}
> Progress 90.052%, elapsed 866 s, estimated 961 s, iters = {MDP: 36022}
> Progress 90.177%, elapsed 869 s, estimated 963 s, iters = {MDP: 36072}
