2024-01-04 20:51:38,048 - cli.py - This is Paynt version 0.1.0.
2024-01-04 20:51:38,048 - sketch.py - loading sketch from models/mdp/sketches/uav/operator-roz-workload/sketch.templ ...
2024-01-04 20:51:38,048 - sketch.py - assuming sketch in PRISM format...
2024-01-04 20:51:38,056 - prism_parser.py - PRISM model type: MDP
2024-01-04 20:51:38,056 - prism_parser.py - processing hole definitions...
2024-01-04 20:51:38,057 - prism_parser.py - loading properties from models/mdp/sketches/uav/operator-roz-workload/sketch.props ...
2024-01-04 20:51:38,058 - prism_parser.py - found the following specification: constraints: P>=7/10 [F ((w1 & w2) & w6)]; 
2024-01-04 20:51:38,058 - jani.py - constructing JANI program...
2024-01-04 20:51:38,088 - jani.py - constructing the quotient...
2024-01-04 20:51:38,650 - jani.py - associating choices of the quotient with hole assignments...
2024-01-04 20:51:38,797 - sketch.py - sketch parsing OK
2024-01-04 20:51:38,797 - sketch.py - constructed explicit quotient having 9007 states and 139969 actions
2024-01-04 20:51:38,797 - sketch.py - found the following specification constraints: P>=7/10 [F ((w1 & w2) & w6)]; 
2024-01-04 20:51:38,869 - mdp_family.py - associating choices with action labels...
2024-01-04 20:51:39,026 - synthesizer.py - evaluation initiated, design space: 1620000
> Progress 11.819%, elapsed 761 s, estimated 6445 s, iters = {MDP: 191473}
> Progress 11.858%, elapsed 764 s, estimated 6448 s, iters = {MDP: 192115}
> Progress 11.896%, elapsed 767 s, estimated 6453 s, iters = {MDP: 192719}
> Progress 11.934%, elapsed 770 s, estimated 6458 s, iters = {MDP: 193334}
> Progress 11.973%, elapsed 773 s, estimated 6462 s, iters = {MDP: 193978}
> Progress 12.013%, elapsed 776 s, estimated 6465 s, iters = {MDP: 194625}
> Progress 12.053%, elapsed 779 s, estimated 6469 s, iters = {MDP: 195270}
> Progress 12.093%, elapsed 782 s, estimated 6472 s, iters = {MDP: 195920}
> Progress 12.133%, elapsed 785 s, estimated 6476 s, iters = {MDP: 196569}
> Progress 12.174%, elapsed 788 s, estimated 6479 s, iters = {MDP: 197222}
> Progress 12.214%, elapsed 791 s, estimated 6482 s, iters = {MDP: 197873}
> Progress 12.252%, elapsed 794 s, estimated 6486 s, iters = {MDP: 198489}
> Progress 12.289%, elapsed 797 s, estimated 6491 s, iters = {MDP: 199089}
> Progress 12.329%, elapsed 800 s, estimated 6495 s, iters = {MDP: 199731}
> Progress 12.368%, elapsed 803 s, estimated 6498 s, iters = {MDP: 200366}
> Progress 12.408%, elapsed 806 s, estimated 6502 s, iters = {MDP: 201015}
> Progress 12.447%, elapsed 809 s, estimated 6505 s, iters = {MDP: 201653}
> Progress 12.487%, elapsed 812 s, estimated 6509 s, iters = {MDP: 202294}
> Progress 12.527%, elapsed 815 s, estimated 6512 s, iters = {MDP: 202944}
> Progress 12.566%, elapsed 818 s, estimated 6515 s, iters = {MDP: 203580}
> Progress 12.606%, elapsed 821 s, estimated 6519 s, iters = {MDP: 204223}
> Progress 12.644%, elapsed 824 s, estimated 6523 s, iters = {MDP: 204843}
> Progress 12.681%, elapsed 827 s, estimated 6527 s, iters = {MDP: 205444}
> Progress 12.721%, elapsed 830 s, estimated 6531 s, iters = {MDP: 206086}
> Progress 12.759%, elapsed 833 s, estimated 6534 s, iters = {MDP: 206711}
> Progress 12.799%, elapsed 836 s, estimated 6537 s, iters = {MDP: 207357}
> Progress 12.839%, elapsed 839 s, estimated 6541 s, iters = {MDP: 207998}
> Progress 12.878%, elapsed 842 s, estimated 6544 s, iters = {MDP: 208640}
> Progress 12.918%, elapsed 845 s, estimated 6547 s, iters = {MDP: 209279}
