2024-01-04 20:51:33,051 - cli.py - This is Paynt version 0.1.0.
2024-01-04 20:51:33,051 - sketch.py - loading sketch from models/mdp/sketches/uav/operator-roz-big/sketch.templ ...
2024-01-04 20:51:33,051 - sketch.py - assuming sketch in PRISM format...
2024-01-04 20:51:33,061 - prism_parser.py - PRISM model type: MDP
2024-01-04 20:51:33,062 - prism_parser.py - processing hole definitions...
2024-01-04 20:51:33,062 - prism_parser.py - loading properties from models/mdp/sketches/uav/operator-roz-big/sketch.props ...
2024-01-04 20:51:33,064 - prism_parser.py - found the following specification: constraints: P>=3/4 [F ((w1 & w2) & w6)]; 
2024-01-04 20:51:33,064 - jani.py - constructing JANI program...
2024-01-04 20:51:33,106 - jani.py - constructing the quotient...
2024-01-04 20:51:34,315 - jani.py - associating choices of the quotient with hole assignments...
2024-01-04 20:51:34,630 - sketch.py - sketch parsing OK
2024-01-04 20:51:34,631 - sketch.py - constructed explicit quotient having 17927 states and 295977 actions
2024-01-04 20:51:34,631 - sketch.py - found the following specification constraints: P>=3/4 [F ((w1 & w2) & w6)]; 
2024-01-04 20:51:34,771 - mdp_family.py - associating choices with action labels...
2024-01-04 20:51:35,110 - synthesizer.py - evaluation initiated, design space: 360000
> Progress 25.043%, elapsed 751 s, estimated 3002 s, iters = {MDP: 90157}
> Progress 25.09%, elapsed 754 s, estimated 3008 s, iters = {MDP: 90328}
> Progress 25.14%, elapsed 757 s, estimated 3014 s, iters = {MDP: 90507}
> Progress 25.193%, elapsed 760 s, estimated 3020 s, iters = {MDP: 90697}
> Progress 25.245%, elapsed 763 s, estimated 3025 s, iters = {MDP: 90883}
> Progress 25.296%, elapsed 766 s, estimated 3031 s, iters = {MDP: 91069}
> Progress 25.347%, elapsed 769 s, estimated 3037 s, iters = {MDP: 91251}
> Progress 25.396%, elapsed 772 s, estimated 3043 s, iters = {MDP: 91427}
> Progress 25.446%, elapsed 775 s, estimated 3049 s, iters = {MDP: 91608}
> Progress 25.498%, elapsed 778 s, estimated 3054 s, iters = {MDP: 91794}
> Progress 25.548%, elapsed 781 s, estimated 3060 s, iters = {MDP: 91976}
> Progress 25.599%, elapsed 784 s, estimated 3066 s, iters = {MDP: 92160}
> Progress 25.651%, elapsed 787 s, estimated 3071 s, iters = {MDP: 92345}
> Progress 25.702%, elapsed 790 s, estimated 3077 s, iters = {MDP: 92531}
> Progress 25.753%, elapsed 793 s, estimated 3082 s, iters = {MDP: 92715}
> Progress 25.805%, elapsed 796 s, estimated 3088 s, iters = {MDP: 92899}
> Progress 25.853%, elapsed 799 s, estimated 3094 s, iters = {MDP: 93073}
> Progress 25.902%, elapsed 802 s, estimated 3100 s, iters = {MDP: 93250}
> Progress 25.953%, elapsed 805 s, estimated 3105 s, iters = {MDP: 93435}
> Progress 26.004%, elapsed 808 s, estimated 3110 s, iters = {MDP: 93616}
> Progress 26.056%, elapsed 811 s, estimated 3116 s, iters = {MDP: 93806}
> Progress 26.109%, elapsed 815 s, estimated 3121 s, iters = {MDP: 93996}
> Progress 26.163%, elapsed 818 s, estimated 3126 s, iters = {MDP: 94191}
> Progress 26.217%, elapsed 821 s, estimated 3131 s, iters = {MDP: 94383}
> Progress 26.27%, elapsed 824 s, estimated 3136 s, iters = {MDP: 94575}
> Progress 26.323%, elapsed 827 s, estimated 3141 s, iters = {MDP: 94766}
> Progress 26.373%, elapsed 830 s, estimated 3147 s, iters = {MDP: 94946}
> Progress 26.424%, elapsed 833 s, estimated 3152 s, iters = {MDP: 95128}
