2024-01-08 21:51:21,472 - cli.py - This is Paynt version 0.1.0.
2024-01-08 21:51:21,472 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/int-holes/operator-roz-workload/sketch.templ ...
2024-01-08 21:51:21,472 - sketch.py - assuming sketch in PRISM format...
2024-01-08 21:51:21,480 - prism_parser.py - PRISM model type: MDP
2024-01-08 21:51:21,480 - prism_parser.py - processing hole definitions...
2024-01-08 21:51:21,481 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/int-holes/operator-roz-workload/sketch.props ...
2024-01-08 21:51:21,481 - prism_parser.py - found the following specification: constraints: P>=7/10 [F ((w1 & w2) & w6)]; 
2024-01-08 21:51:21,481 - jani.py - constructing JANI program...
2024-01-08 21:51:21,514 - jani.py - constructing the quotient...
2024-01-08 21:51:22,060 - jani.py - associating choices of the quotient with hole assignments...
2024-01-08 21:51:22,215 - sketch.py - sketch parsing OK
2024-01-08 21:51:22,215 - sketch.py - constructed explicit quotient having 9007 states and 139969 actions
2024-01-08 21:51:22,216 - sketch.py - found the following specification constraints: P>=7/10 [F ((w1 & w2) & w6)]; 
2024-01-08 21:51:22,303 - mdp_family.py - associating choices with action labels...
2024-01-08 21:51:22,472 - synthesizer.py - evaluation initiated, design space: 1620000
> Progress 8.389%, elapsed 526 s, estimated 6276 s, iters = {MDP: 135906}
> Progress 8.44%, elapsed 529 s, estimated 6273 s, iters = {MDP: 136744}
> Progress 8.491%, elapsed 532 s, estimated 6272 s, iters = {MDP: 137557}
> Progress 8.543%, elapsed 535 s, estimated 6268 s, iters = {MDP: 138403}
> Progress 8.593%, elapsed 538 s, estimated 6267 s, iters = {MDP: 139214}
> Progress 8.644%, elapsed 541 s, estimated 6265 s, iters = {MDP: 140038}
> Progress 8.694%, elapsed 544 s, estimated 6263 s, iters = {MDP: 140856}
> Progress 8.746%, elapsed 547 s, estimated 6260 s, iters = {MDP: 141697}
> Progress 8.796%, elapsed 550 s, estimated 6258 s, iters = {MDP: 142509}
> Progress 8.848%, elapsed 553 s, estimated 6256 s, iters = {MDP: 143339}
> Progress 8.898%, elapsed 556 s, estimated 6254 s, iters = {MDP: 144163}
> Progress 8.949%, elapsed 559 s, estimated 6252 s, iters = {MDP: 144989}
> Progress 9.0%, elapsed 562 s, estimated 6250 s, iters = {MDP: 145807}
> Progress 9.05%, elapsed 565 s, estimated 6248 s, iters = {MDP: 146626}
> Progress 9.102%, elapsed 568 s, estimated 6246 s, iters = {MDP: 147460}
> Progress 9.151%, elapsed 571 s, estimated 6245 s, iters = {MDP: 148257}
> Progress 9.2%, elapsed 574 s, estimated 6245 s, iters = {MDP: 149042}
> Progress 9.251%, elapsed 577 s, estimated 6243 s, iters = {MDP: 149877}
> Progress 9.302%, elapsed 580 s, estimated 6241 s, iters = {MDP: 150697}
> Progress 9.352%, elapsed 583 s, estimated 6240 s, iters = {MDP: 151510}
> Progress 9.403%, elapsed 586 s, estimated 6238 s, iters = {MDP: 152336}
> Progress 9.454%, elapsed 589 s, estimated 6236 s, iters = {MDP: 153164}
> Progress 9.505%, elapsed 592 s, estimated 6233 s, iters = {MDP: 153998}
> Progress 9.557%, elapsed 595 s, estimated 6232 s, iters = {MDP: 154825}
> Progress 9.608%, elapsed 598 s, estimated 6229 s, iters = {MDP: 155664}
