2023-12-19 13:27:54,243 - cli.py - This is Paynt version 0.1.0.
2023-12-19 13:27:54,243 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/roz/sketch.templ ...
2023-12-19 13:27:54,244 - sketch.py - assuming sketch in PRISM format...
2023-12-19 13:27:54,256 - prism_parser.py - PRISM model type: MDP
2023-12-19 13:27:54,256 - prism_parser.py - processing hole definitions...
2023-12-19 13:27:54,257 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/roz/sketch.props ...
2023-12-19 13:27:54,258 - prism_parser.py - found the following specification: constraints: P>=9/10 [F ((w1 & w2) & w6)]; 
2023-12-19 13:27:54,258 - jani.py - constructing JANI program...
2023-12-19 13:27:54,269 - jani.py - constructing the quotient...
2023-12-19 13:27:54,998 - jani.py - associating choices of the quotient with hole assignments...
2023-12-19 13:27:55,156 - sketch.py - sketch parsing OK
2023-12-19 13:27:55,156 - sketch.py - constructed explicit quotient having 17927 states and 191629 actions
2023-12-19 13:27:55,156 - sketch.py - found the following specification constraints: P>=9/10 [F ((w1 & w2) & w6)]; 
2023-12-19 13:27:55,256 - mdp_family.py - associating choices with action labels...
2023-12-19 13:27:55,492 - synthesizer.py - evaluation initiated, design space: 4500
> Progress 84.688%, elapsed 661 s, estimated 780 s, iters = {MDP: 3812}
> Progress 84.888%, elapsed 664 s, estimated 782 s, iters = {MDP: 3821}
> Progress 85.088%, elapsed 667 s, estimated 784 s, iters = {MDP: 3830}
> Progress 85.311%, elapsed 670 s, estimated 786 s, iters = {MDP: 3840}
> Progress 85.511%, elapsed 673 s, estimated 788 s, iters = {MDP: 3849}
> Progress 85.733%, elapsed 677 s, estimated 789 s, iters = {MDP: 3859}
> Progress 85.955%, elapsed 680 s, estimated 791 s, iters = {MDP: 3869}
> Progress 86.155%, elapsed 683 s, estimated 793 s, iters = {MDP: 3878}
> Progress 87.111%, elapsed 686 s, estimated 788 s, iters = {MDP: 3921}
> Progress 87.4%, elapsed 689 s, estimated 789 s, iters = {MDP: 3934}
> Progress 87.6%, elapsed 692 s, estimated 790 s, iters = {MDP: 3943}
> Progress 87.888%, elapsed 695 s, estimated 791 s, iters = {MDP: 3956}
> Progress 88.133%, elapsed 699 s, estimated 793 s, iters = {MDP: 3967}
> Progress 88.777%, elapsed 702 s, estimated 791 s, iters = {MDP: 3996}
> Progress 88.977%, elapsed 705 s, estimated 793 s, iters = {MDP: 4005}
> Progress 89.288%, elapsed 708 s, estimated 793 s, iters = {MDP: 4019}
> Progress 89.711%, elapsed 711 s, estimated 793 s, iters = {MDP: 4038}
> Progress 90.0%, elapsed 714 s, estimated 794 s, iters = {MDP: 4051}
> Progress 90.266%, elapsed 717 s, estimated 795 s, iters = {MDP: 4063}
> Progress 90.755%, elapsed 721 s, estimated 794 s, iters = {MDP: 4085}
> Progress 91.111%, elapsed 724 s, estimated 794 s, iters = {MDP: 4101}
> Progress 91.355%, elapsed 727 s, estimated 796 s, iters = {MDP: 4112}
> Progress 91.555%, elapsed 730 s, estimated 797 s, iters = {MDP: 4121}
> Progress 91.822%, elapsed 733 s, estimated 798 s, iters = {MDP: 4133}
> Progress 92.022%, elapsed 736 s, estimated 800 s, iters = {MDP: 4142}
> Progress 92.377%, elapsed 739 s, estimated 800 s, iters = {MDP: 4158}
