2023-12-19 13:41:39,450 - cli.py - This is Paynt version 0.1.0.
2023-12-19 13:41:39,450 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/operator-roz/sketch.templ ...
2023-12-19 13:41:39,450 - sketch.py - assuming sketch in PRISM format...
2023-12-19 13:41:39,458 - prism_parser.py - PRISM model type: MDP
2023-12-19 13:41:39,458 - prism_parser.py - processing hole definitions...
2023-12-19 13:41:39,459 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/operator-roz/sketch.props ...
2023-12-19 13:41:39,460 - prism_parser.py - found the following specification: constraints: P>=9/10 [F ((w1 & w2) & w6)]; 
2023-12-19 13:41:39,460 - jani.py - constructing JANI program...
2023-12-19 13:41:39,499 - jani.py - constructing the quotient...
2023-12-19 13:41:40,640 - jani.py - associating choices of the quotient with hole assignments...
2023-12-19 13:41:40,971 - sketch.py - sketch parsing OK
2023-12-19 13:41:40,972 - sketch.py - constructed explicit quotient having 17927 states and 295017 actions
2023-12-19 13:41:40,972 - sketch.py - found the following specification constraints: P>=9/10 [F ((w1 & w2) & w6)]; 
2023-12-19 13:41:41,126 - mdp_family.py - associating choices with action labels...
2023-12-19 13:41:41,502 - synthesizer.py - evaluation initiated, design space: 14400
> Progress 18.291%, elapsed 547 s, estimated 2991 s, iters = {MDP: 2635}
> Progress 18.381%, elapsed 550 s, estimated 2992 s, iters = {MDP: 2648}
> Progress 18.451%, elapsed 553 s, estimated 2999 s, iters = {MDP: 2658}
> Progress 18.52%, elapsed 556 s, estimated 3005 s, iters = {MDP: 2668}
> Progress 18.625%, elapsed 559 s, estimated 3006 s, iters = {MDP: 2683}
> Progress 18.68%, elapsed 563 s, estimated 3014 s, iters = {MDP: 2691}
> Progress 18.743%, elapsed 566 s, estimated 3022 s, iters = {MDP: 2700}
> Progress 18.798%, elapsed 569 s, estimated 3030 s, iters = {MDP: 2708}
> Progress 18.868%, elapsed 573 s, estimated 3037 s, iters = {MDP: 2718}
> Progress 18.93%, elapsed 576 s, estimated 3045 s, iters = {MDP: 2727}
> Progress 18.986%, elapsed 579 s, estimated 3053 s, iters = {MDP: 2735}
> Progress 19.041%, elapsed 582 s, estimated 3060 s, iters = {MDP: 2743}
> Progress 19.097%, elapsed 586 s, estimated 3068 s, iters = {MDP: 2751}
> Progress 19.159%, elapsed 589 s, estimated 3075 s, iters = {MDP: 2760}
> Progress 19.215%, elapsed 592 s, estimated 3083 s, iters = {MDP: 2768}
> Progress 19.27%, elapsed 595 s, estimated 3090 s, iters = {MDP: 2776}
> Progress 19.326%, elapsed 598 s, estimated 3097 s, iters = {MDP: 2784}
> Progress 19.381%, elapsed 601 s, estimated 3104 s, iters = {MDP: 2792}
> Progress 19.437%, elapsed 605 s, estimated 3112 s, iters = {MDP: 2800}
> Progress 19.493%, elapsed 608 s, estimated 3120 s, iters = {MDP: 2808}
> Progress 19.541%, elapsed 611 s, estimated 3128 s, iters = {MDP: 2815}
> Progress 19.59%, elapsed 614 s, estimated 3136 s, iters = {MDP: 2822}
> Progress 19.638%, elapsed 617 s, estimated 3145 s, iters = {MDP: 2829}
> Progress 19.694%, elapsed 621 s, estimated 3153 s, iters = {MDP: 2837}
> Progress 19.756%, elapsed 624 s, estimated 3158 s, iters = {MDP: 2846}
> Progress 19.881%, elapsed 627 s, estimated 3154 s, iters = {MDP: 2864}
> Progress 19.979%, elapsed 630 s, estimated 3154 s, iters = {MDP: 2878}
> Progress 20.083%, elapsed 633 s, estimated 3154 s, iters = {MDP: 2893}
> Progress 20.138%, elapsed 636 s, estimated 3161 s, iters = {MDP: 2901}
> Progress 20.194%, elapsed 639 s, estimated 3168 s, iters = {MDP: 2909}
> Progress 20.243%, elapsed 642 s, estimated 3175 s, iters = {MDP: 2916}
> Progress 20.291%, elapsed 645 s, estimated 3183 s, iters = {MDP: 2923}
> Progress 20.347%, elapsed 649 s, estimated 3190 s, iters = {MDP: 2931}
> Progress 20.395%, elapsed 652 s, estimated 3197 s, iters = {MDP: 2938}
> Progress 20.458%, elapsed 655 s, estimated 3203 s, iters = {MDP: 2947}
> Progress 20.513%, elapsed 658 s, estimated 3209 s, iters = {MDP: 2955}
> Progress 20.611%, elapsed 661 s, estimated 3209 s, iters = {MDP: 2969}
> Progress 20.659%, elapsed 664 s, estimated 3216 s, iters = {MDP: 2976}
> Progress 20.715%, elapsed 667 s, estimated 3222 s, iters = {MDP: 2984}
> Progress 20.812%, elapsed 671 s, estimated 3224 s, iters = {MDP: 2998}
> Progress 20.881%, elapsed 674 s, estimated 3229 s, iters = {MDP: 3008}
> Progress 20.944%, elapsed 677 s, estimated 3234 s, iters = {MDP: 3017}
> Progress 21.006%, elapsed 680 s, estimated 3239 s, iters = {MDP: 3026}
> Progress 21.111%, elapsed 683 s, estimated 3238 s, iters = {MDP: 3041}
> Progress 21.159%, elapsed 686 s, estimated 3246 s, iters = {MDP: 3048}
> Progress 21.208%, elapsed 690 s, estimated 3253 s, iters = {MDP: 3055}
> Progress 21.256%, elapsed 693 s, estimated 3261 s, iters = {MDP: 3062}
> Progress 21.312%, elapsed 696 s, estimated 3267 s, iters = {MDP: 3070}
> Progress 21.361%, elapsed 699 s, estimated 3275 s, iters = {MDP: 3077}
> Progress 21.402%, elapsed 702 s, estimated 3283 s, iters = {MDP: 3083}
> Progress 21.458%, elapsed 706 s, estimated 3290 s, iters = {MDP: 3091}
> Progress 21.513%, elapsed 709 s, estimated 3297 s, iters = {MDP: 3099}
> Progress 21.562%, elapsed 712 s, estimated 3303 s, iters = {MDP: 3106}
> Progress 21.611%, elapsed 715 s, estimated 3310 s, iters = {MDP: 3113}
> Progress 21.659%, elapsed 718 s, estimated 3317 s, iters = {MDP: 3120}
> Progress 21.708%, elapsed 721 s, estimated 3323 s, iters = {MDP: 3127}
> Progress 21.763%, elapsed 724 s, estimated 3330 s, iters = {MDP: 3135}
> Progress 21.812%, elapsed 727 s, estimated 3337 s, iters = {MDP: 3142}
> Progress 21.868%, elapsed 731 s, estimated 3344 s, iters = {MDP: 3150}
> Progress 21.916%, elapsed 734 s, estimated 3351 s, iters = {MDP: 3157}
> Progress 21.965%, elapsed 737 s, estimated 3357 s, iters = {MDP: 3164}
> Progress 22.02%, elapsed 740 s, estimated 3364 s, iters = {MDP: 3172}
> Progress 22.069%, elapsed 743 s, estimated 3371 s, iters = {MDP: 3179}
> Progress 22.125%, elapsed 747 s, estimated 3377 s, iters = {MDP: 3187}
