2024-01-18 00:59:06,270 - cli.py - This is Paynt version 0.1.0.
2024-01-18 00:59:06,270 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/rover-100-big/sketch.templ ...
2024-01-18 00:59:06,270 - sketch.py - assuming sketch in PRISM format...
2024-01-18 00:59:06,275 - prism_parser.py - PRISM model type: MDP
2024-01-18 00:59:06,276 - prism_parser.py - processing hole definitions...
2024-01-18 00:59:06,276 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/rover-100-big/sketch.props ...
2024-01-18 00:59:06,277 - prism_parser.py - found the following specification: constraints: P>=4/5 [F "goal"]; 
2024-01-18 00:59:06,277 - jani.py - constructing JANI program...
2024-01-18 00:59:06,280 - jani.py - constructing the quotient...
2024-01-18 00:59:06,364 - jani.py - associating choices of the quotient with hole assignments...
2024-01-18 00:59:06,407 - sketch.py - sketch parsing OK
2024-01-18 00:59:06,408 - sketch.py - constructed explicit quotient having 1703 states and 50203 actions
2024-01-18 00:59:06,408 - sketch.py - found the following specification constraints: P>=4/5 [F "goal"]; 
2024-01-18 00:59:06,415 - mdp_family.py - associating choices with action labels...
2024-01-18 00:59:06,447 - synthesizer.py - evaluation initiated, design space: 24300000
> progress 37.511%, elapsed 559 s, estimated 1490 s, iters = {MDP: 156224}
> progress 37.562%, elapsed 562 s, estimated 1496 s, iters = {MDP: 156872}
> progress 37.656%, elapsed 565 s, estimated 1501 s, iters = {MDP: 158037}
> progress 37.721%, elapsed 568 s, estimated 1507 s, iters = {MDP: 158588}
> progress 37.808%, elapsed 571 s, estimated 1512 s, iters = {MDP: 159355}
> progress 37.862%, elapsed 574 s, estimated 1518 s, iters = {MDP: 159808}
> progress 39.845%, elapsed 578 s, estimated 1450 s, iters = {MDP: 160883}
> progress 39.97%, elapsed 581 s, estimated 1453 s, iters = {MDP: 161730}
> progress 39.981%, elapsed 584 s, estimated 1461 s, iters = {MDP: 162257}
> progress 40.014%, elapsed 587 s, estimated 1467 s, iters = {MDP: 162783}
> progress 40.05%, elapsed 590 s, estimated 1473 s, iters = {MDP: 163327}
> progress 40.079%, elapsed 593 s, estimated 1480 s, iters = {MDP: 164021}
> progress 40.138%, elapsed 596 s, estimated 1485 s, iters = {MDP: 164644}
> progress 40.328%, elapsed 599 s, estimated 1485 s, iters = {MDP: 165396}
> progress 40.468%, elapsed 602 s, estimated 1488 s, iters = {MDP: 166089}
> progress 40.562%, elapsed 605 s, estimated 1492 s, iters = {MDP: 166679}
> progress 40.641%, elapsed 608 s, estimated 1496 s, iters = {MDP: 167180}
> progress 40.777%, elapsed 611 s, estimated 1499 s, iters = {MDP: 168134}
> progress 40.895%, elapsed 614 s, estimated 1502 s, iters = {MDP: 169133}
> progress 40.954%, elapsed 617 s, estimated 1507 s, iters = {MDP: 169647}
> progress 41.024%, elapsed 620 s, estimated 1512 s, iters = {MDP: 170264}
> progress 41.085%, elapsed 623 s, estimated 1517 s, iters = {MDP: 170787}
> progress 41.203%, elapsed 626 s, estimated 1520 s, iters = {MDP: 171797}
> progress 42.309%, elapsed 629 s, estimated 1487 s, iters = {MDP: 172349}
> progress 42.402%, elapsed 632 s, estimated 1491 s, iters = {MDP: 172900}
> progress 42.489%, elapsed 635 s, estimated 1495 s, iters = {MDP: 173414}
> progress 42.674%, elapsed 638 s, estimated 1496 s, iters = {MDP: 174355}
> progress 42.852%, elapsed 641 s, estimated 1497 s, iters = {MDP: 175056}
> progress 43.016%, elapsed 644 s, estimated 1498 s, iters = {MDP: 175716}
> progress 43.175%, elapsed 647 s, estimated 1500 s, iters = {MDP: 176623}
> progress 43.249%, elapsed 650 s, estimated 1504 s, iters = {MDP: 177240}
> progress 43.317%, elapsed 653 s, estimated 1509 s, iters = {MDP: 177835}
> progress 43.382%, elapsed 656 s, estimated 1514 s, iters = {MDP: 178384}
> progress 43.433%, elapsed 659 s, estimated 1519 s, iters = {MDP: 178822}
> progress 43.546%, elapsed 662 s, estimated 1522 s, iters = {MDP: 179948}
> progress 43.6%, elapsed 665 s, estimated 1527 s, iters = {MDP: 180660}
> progress 45.989%, elapsed 668 s, estimated 1454 s, iters = {MDP: 181698}
> progress 46.009%, elapsed 671 s, estimated 1460 s, iters = {MDP: 182216}
> progress 46.057%, elapsed 675 s, estimated 1465 s, iters = {MDP: 182710}
> progress 46.126%, elapsed 678 s, estimated 1470 s, iters = {MDP: 183472}
> progress 46.202%, elapsed 681 s, estimated 1474 s, iters = {MDP: 183914}
> progress 46.354%, elapsed 684 s, estimated 1476 s, iters = {MDP: 184820}
> progress 46.452%, elapsed 687 s, estimated 1479 s, iters = {MDP: 185682}
> progress 46.565%, elapsed 690 s, estimated 1482 s, iters = {MDP: 186233}
> progress 46.669%, elapsed 693 s, estimated 1485 s, iters = {MDP: 186649}
> progress 46.781%, elapsed 696 s, estimated 1488 s, iters = {MDP: 187458}
> progress 46.843%, elapsed 699 s, estimated 1492 s, iters = {MDP: 188159}
> progress 46.915%, elapsed 702 s, estimated 1497 s, iters = {MDP: 189249}
