2024-01-17 19:48:19,474 - cli.py - This is Paynt version 0.1.0.
2024-01-17 19:48:19,474 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/rover-1000/sketch.templ ...
2024-01-17 19:48:19,474 - sketch.py - assuming sketch in PRISM format...
2024-01-17 19:48:19,476 - prism_parser.py - PRISM model type: MDP
2024-01-17 19:48:19,476 - prism_parser.py - processing hole definitions...
2024-01-17 19:48:19,477 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/rover-1000/sketch.props ...
2024-01-17 19:48:19,477 - prism_parser.py - found the following specification: constraints: P>=4/5 [F "goal"]; 
2024-01-17 19:48:19,477 - jani.py - constructing JANI program...
2024-01-17 19:48:19,479 - jani.py - constructing the quotient...
2024-01-17 19:48:20,153 - jani.py - associating choices of the quotient with hole assignments...
2024-01-17 19:48:20,603 - sketch.py - sketch parsing OK
2024-01-17 19:48:20,603 - sketch.py - constructed explicit quotient having 17003 states and 518003 actions
2024-01-17 19:48:20,603 - sketch.py - found the following specification constraints: P>=4/5 [F "goal"]; 
2024-01-17 19:48:20,821 - mdp_family.py - associating choices with action labels...
2024-01-17 19:48:21,180 - synthesizer.py - evaluation initiated, design space: 3779136
> progress 23.58%, elapsed 430 s, estimated 1824 s, iters = {game: 6338, MDP: 7789}
> progress 23.585%, elapsed 433 s, estimated 1837 s, iters = {game: 6369, MDP: 7814}
> progress 24.011%, elapsed 436 s, estimated 1817 s, iters = {game: 6430, MDP: 7869}
> progress 24.013%, elapsed 439 s, estimated 1829 s, iters = {game: 6466, MDP: 7940}
> progress 24.016%, elapsed 442 s, estimated 1842 s, iters = {game: 6493, MDP: 7993}
> progress 24.018%, elapsed 445 s, estimated 1854 s, iters = {game: 6521, MDP: 8047}
> progress 24.02%, elapsed 448 s, estimated 1867 s, iters = {game: 6548, MDP: 8097}
> progress 24.028%, elapsed 451 s, estimated 1879 s, iters = {game: 6606, MDP: 8152}
> progress 24.036%, elapsed 454 s, estimated 1891 s, iters = {game: 6656, MDP: 8191}
> progress 24.039%, elapsed 457 s, estimated 1903 s, iters = {game: 6700, MDP: 8279}
> progress 24.041%, elapsed 460 s, estimated 1915 s, iters = {game: 6728, MDP: 8333}
> progress 24.043%, elapsed 463 s, estimated 1928 s, iters = {game: 6756, MDP: 8387}
> progress 24.045%, elapsed 466 s, estimated 1940 s, iters = {game: 6783, MDP: 8437}
> progress 24.052%, elapsed 469 s, estimated 1952 s, iters = {game: 6863, MDP: 8572}
> progress 24.054%, elapsed 472 s, estimated 1964 s, iters = {game: 6895, MDP: 8633}
> progress 24.056%, elapsed 475 s, estimated 1977 s, iters = {game: 6925, MDP: 8688}
> progress 24.059%, elapsed 478 s, estimated 1989 s, iters = {game: 6952, MDP: 8742}
> progress 24.061%, elapsed 481 s, estimated 2002 s, iters = {game: 6979, MDP: 8793}
> progress 24.063%, elapsed 484 s, estimated 2014 s, iters = {game: 7008, MDP: 8846}
> progress 24.065%, elapsed 487 s, estimated 2026 s, iters = {game: 7034, MDP: 8899}
> progress 24.067%, elapsed 490 s, estimated 2039 s, iters = {game: 7062, MDP: 8949}
> progress 24.069%, elapsed 493 s, estimated 2051 s, iters = {game: 7089, MDP: 8999}
> progress 24.872%, elapsed 496 s, estimated 1997 s, iters = {game: 7152, MDP: 9059}
> progress 24.875%, elapsed 499 s, estimated 2009 s, iters = {game: 7192, MDP: 9140}
> progress 24.877%, elapsed 502 s, estimated 2021 s, iters = {game: 7217, MDP: 9188}
> progress 24.879%, elapsed 505 s, estimated 2033 s, iters = {game: 7242, MDP: 9235}
> progress 24.881%, elapsed 508 s, estimated 2045 s, iters = {game: 7266, MDP: 9280}
> progress 24.887%, elapsed 512 s, estimated 2057 s, iters = {game: 7308, MDP: 9337}
> progress 24.901%, elapsed 515 s, estimated 2068 s, iters = {game: 7350, MDP: 9367}
> progress 24.905%, elapsed 518 s, estimated 2080 s, iters = {game: 7376, MDP: 9385}
> progress 24.914%, elapsed 521 s, estimated 2091 s, iters = {game: 7424, MDP: 9427}
> progress 24.919%, elapsed 524 s, estimated 2103 s, iters = {game: 7457, MDP: 9465}
> progress 24.926%, elapsed 527 s, estimated 2115 s, iters = {game: 7517, MDP: 9549}
> progress 24.928%, elapsed 530 s, estimated 2127 s, iters = {game: 7541, MDP: 9599}
> progress 24.929%, elapsed 533 s, estimated 2139 s, iters = {game: 7564, MDP: 9643}
> progress 24.931%, elapsed 536 s, estimated 2151 s, iters = {game: 7588, MDP: 9690}
> progress 24.933%, elapsed 539 s, estimated 2163 s, iters = {game: 7611, MDP: 9733}
> progress 24.944%, elapsed 542 s, estimated 2174 s, iters = {game: 7655, MDP: 9784}
> progress 24.952%, elapsed 545 s, estimated 2185 s, iters = {game: 7721, MDP: 9901}
> progress 24.954%, elapsed 548 s, estimated 2197 s, iters = {game: 7744, MDP: 9944}
> progress 24.956%, elapsed 551 s, estimated 2209 s, iters = {game: 7768, MDP: 9987}
> progress 24.958%, elapsed 554 s, estimated 2222 s, iters = {game: 7793, MDP: 10032}
> progress 24.96%, elapsed 557 s, estimated 2233 s, iters = {game: 7811, MDP: 10067}
> progress 24.961%, elapsed 560 s, estimated 2246 s, iters = {game: 7833, MDP: 10113}
> progress 24.963%, elapsed 563 s, estimated 2258 s, iters = {game: 7854, MDP: 10151}
> progress 24.965%, elapsed 566 s, estimated 2270 s, iters = {game: 7875, MDP: 10192}
> progress 24.967%, elapsed 569 s, estimated 2282 s, iters = {game: 7899, MDP: 10233}
> progress 24.967%, elapsed 573 s, estimated 2295 s, iters = {game: 7917, MDP: 10272}
> progress 24.969%, elapsed 576 s, estimated 2307 s, iters = {game: 7939, MDP: 10314}
> progress 24.982%, elapsed 579 s, estimated 2318 s, iters = {game: 8001, MDP: 10376}
> progress 25.462%, elapsed 582 s, estimated 2286 s, iters = {game: 8034, MDP: 10400}
> progress 25.865%, elapsed 585 s, estimated 2262 s, iters = {game: 8084, MDP: 10440}
> progress 25.869%, elapsed 588 s, estimated 2274 s, iters = {game: 8117, MDP: 10469}
> progress 25.874%, elapsed 591 s, estimated 2285 s, iters = {game: 8158, MDP: 10504}
> progress 25.885%, elapsed 594 s, estimated 2296 s, iters = {game: 8201, MDP: 10532}
> progress 25.893%, elapsed 597 s, estimated 2306 s, iters = {game: 8256, MDP: 10578}
> progress 25.895%, elapsed 600 s, estimated 2318 s, iters = {game: 8288, MDP: 10608}
> progress 25.902%, elapsed 603 s, estimated 2329 s, iters = {game: 8339, MDP: 10651}
