2024-01-16 21:00:17,719 - cli.py - This is Paynt version 0.1.0.
2024-01-16 21:00:17,719 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/obstacles-10-6-skip-easy/sketch.templ ...
2024-01-16 21:00:17,719 - sketch.py - assuming sketch in PRISM format...
2024-01-16 21:00:17,722 - prism_parser.py - PRISM model type: MDP
2024-01-16 21:00:17,722 - prism_parser.py - processing hole definitions...
2024-01-16 21:00:17,723 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/obstacles-10-6-skip-easy/sketch.props ...
2024-01-16 21:00:17,723 - prism_parser.py - found the following specification: constraints: P>9/10 [F ((x = 10) & (y = 10))]; 
2024-01-16 21:00:17,724 - jani.py - constructing JANI program...
2024-01-16 21:00:17,726 - jani.py - constructing the quotient...
2024-01-16 21:00:17,741 - jani.py - associating choices of the quotient with hole assignments...
2024-01-16 21:00:17,743 - sketch.py - sketch parsing OK
2024-01-16 21:00:17,744 - sketch.py - constructed explicit quotient having 783 states and 2856 actions
2024-01-16 21:00:17,744 - sketch.py - found the following specification constraints: P>9/10 [F ((x = 10) & (y = 10))]; 
2024-01-16 21:00:17,744 - mdp_family.py - associating choices with action labels...
2024-01-16 21:00:17,750 - synthesizer.py - evaluation initiated, design space: 2488320
> progress 46.207%, elapsed 450 s, estimated 974 s, iters = {game: 128235, MDP: 56058}
> progress 46.382%, elapsed 453 s, estimated 977 s, iters = {game: 129083, MDP: 56426}
> progress 46.708%, elapsed 456 s, estimated 976 s, iters = {game: 129820, MDP: 56746}
> progress 46.892%, elapsed 459 s, estimated 979 s, iters = {game: 130620, MDP: 57094}
> progress 50.011%, elapsed 462 s, estimated 924 s, iters = {game: 131367, MDP: 57420}
> progress 50.067%, elapsed 465 s, estimated 929 s, iters = {game: 132143, MDP: 57758}
> progress 50.257%, elapsed 468 s, estimated 931 s, iters = {game: 132902, MDP: 58091}
> progress 50.357%, elapsed 471 s, estimated 935 s, iters = {game: 133714, MDP: 58447}
> progress 50.536%, elapsed 474 s, estimated 938 s, iters = {game: 134524, MDP: 58805}
> progress 50.745%, elapsed 477 s, estimated 940 s, iters = {game: 135352, MDP: 59169}
> progress 50.98%, elapsed 480 s, estimated 942 s, iters = {game: 136253, MDP: 59564}
> progress 51.185%, elapsed 483 s, estimated 944 s, iters = {game: 137137, MDP: 59952}
> progress 51.393%, elapsed 486 s, estimated 946 s, iters = {game: 137918, MDP: 60296}
> progress 51.622%, elapsed 489 s, estimated 947 s, iters = {game: 138698, MDP: 60639}
> progress 51.774%, elapsed 492 s, estimated 950 s, iters = {game: 139473, MDP: 60974}
> progress 51.916%, elapsed 495 s, estimated 954 s, iters = {game: 140282, MDP: 61329}
> progress 52.142%, elapsed 498 s, estimated 955 s, iters = {game: 141107, MDP: 61694}
