2024-01-08 14:24:00,600 - cli.py - This is Paynt version 0.1.0.
2024-01-08 14:24:00,600 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/int-holes/operator-roz-big/sketch.templ ...
> Progress 68.192%, elapsed 465 s, estimated 683 s, iters = {game: 7855, MDP: 10314}
> Progress 68.222%, elapsed 468 s, estimated 687 s, iters = {game: 7947, MDP: 10431}
> Progress 68.244%, elapsed 471 s, estimated 691 s, iters = {game: 8019, MDP: 10511}
> Progress 68.265%, elapsed 474 s, estimated 695 s, iters = {game: 8088, MDP: 10600}
> Progress 68.29%, elapsed 477 s, estimated 699 s, iters = {game: 8154, MDP: 10695}
> Progress 68.786%, elapsed 480 s, estimated 699 s, iters = {game: 8228, MDP: 10799}
> Progress 68.809%, elapsed 483 s, estimated 703 s, iters = {game: 8296, MDP: 10884}
> Progress 68.837%, elapsed 486 s, estimated 707 s, iters = {game: 8364, MDP: 10963}
> Progress 69.333%, elapsed 489 s, estimated 706 s, iters = {game: 8431, MDP: 11040}
> Progress 69.413%, elapsed 493 s, estimated 710 s, iters = {game: 8492, MDP: 11121}
> Progress 69.44%, elapsed 496 s, estimated 714 s, iters = {game: 8552, MDP: 11197}
> Progress 69.963%, elapsed 499 s, estimated 713 s, iters = {game: 8614, MDP: 11286}
> Progress 69.991%, elapsed 502 s, estimated 717 s, iters = {game: 8675, MDP: 11360}
> Progress 70.555%, elapsed 505 s, estimated 716 s, iters = {game: 8704, MDP: 11403}
> Progress 75.0%, elapsed 508 s, estimated 677 s, iters = {game: 8712, MDP: 11412}
> Progress 80.541%, elapsed 511 s, estimated 634 s, iters = {game: 8732, MDP: 11431}
> Progress 81.104%, elapsed 514 s, estimated 634 s, iters = {game: 8765, MDP: 11474}
> Progress 81.659%, elapsed 517 s, estimated 633 s, iters = {game: 8798, MDP: 11517}
> Progress 82.216%, elapsed 520 s, estimated 633 s, iters = {game: 8831, MDP: 11560}
> Progress 82.745%, elapsed 523 s, estimated 632 s, iters = {game: 8865, MDP: 11608}
> Progress 82.77%, elapsed 526 s, estimated 636 s, iters = {game: 8898, MDP: 11657}
> Progress 83.191%, elapsed 529 s, estimated 636 s, iters = {game: 8940, MDP: 11705}
> Progress 83.222%, elapsed 532 s, estimated 640 s, iters = {game: 8990, MDP: 11769}
> Progress 83.241%, elapsed 535 s, estimated 643 s, iters = {game: 9026, MDP: 11822}
> Progress 83.252%, elapsed 538 s, estimated 647 s, iters = {game: 9061, MDP: 11865}
> Progress 83.265%, elapsed 541 s, estimated 650 s, iters = {game: 9097, MDP: 11916}
> Progress 83.277%, elapsed 544 s, estimated 654 s, iters = {game: 9133, MDP: 11957}
> Progress 83.288%, elapsed 547 s, estimated 657 s, iters = {game: 9169, MDP: 12004}
> Progress 83.298%, elapsed 550 s, estimated 661 s, iters = {game: 9204, MDP: 12046}
> Progress 83.309%, elapsed 553 s, estimated 664 s, iters = {game: 9239, MDP: 12093}
> Progress 83.319%, elapsed 556 s, estimated 668 s, iters = {game: 9274, MDP: 12133}
> Progress 83.826%, elapsed 559 s, estimated 667 s, iters = {game: 9309, MDP: 12183}
> Progress 83.852%, elapsed 562 s, estimated 671 s, iters = {game: 9345, MDP: 12219}
> Progress 83.868%, elapsed 565 s, estimated 674 s, iters = {game: 9379, MDP: 12258}
> Progress 83.88%, elapsed 569 s, estimated 678 s, iters = {game: 9414, MDP: 12297}
> Progress 84.443%, elapsed 572 s, estimated 677 s, iters = {game: 9448, MDP: 12340}
> Progress 84.999%, elapsed 575 s, estimated 676 s, iters = {game: 9481, MDP: 12383}
> Progress 87.777%, elapsed 578 s, estimated 658 s, iters = {game: 9489, MDP: 12393}
> Progress 93.222%, elapsed 581 s, estimated 623 s, iters = {game: 9502, MDP: 12406}
> Progress 93.326%, elapsed 584 s, estimated 626 s, iters = {game: 9514, MDP: 12418}
> Progress 93.331%, elapsed 587 s, estimated 629 s, iters = {game: 9525, MDP: 12435}
> Progress 96.666%, elapsed 590 s, estimated 611 s, iters = {game: 9535, MDP: 12449}
--------------------
Policy tree summary:
found 3260 satisfying policies for 352305/360000 family members (98.0%)
policy tree has 12454 nodes, 6295 of them are leaves:
	  solvable leaves: 3260 (avg.size: 108.1)
	unsolvable leaves: 3035 (avg.size: 2.5)
	 singleton leaves: 2915
2024-01-08 14:33:54,807 - policy_tree.py - post-processing the policy tree...
2024-01-08 14:33:54,807 - policy_tree.py - merging unsat siblings...
2024-01-08 14:33:54,853 - policy_tree.py - merged 0 pairs
2024-01-08 14:33:54,853 - policy_tree.py - merging compatible siblings...
2024-01-08 14:33:55,311 - policy_tree.py - merged 98 pairs
--------------------
Policy tree summary:
found 3168 satisfying policies for 352305/360000 family members (98.0%)
policy tree has 12356 nodes, 6203 of them are leaves:
	  solvable leaves: 3168 (avg.size: 111.2)
	unsolvable leaves: 3035 (avg.size: 2.5)
	 singleton leaves: 2915
2024-01-08 14:33:55,543 - synthesizer.py - evaluation finished
--------------------
Synthesis summary:
constraint 1: P>=3/4 [F ((w1 & w2) & w6)]

method: AR (policy tree), synthesis time: 593.0 s
number of holes: 7, family size: 360000, quotient: 17927 states / 295977 actions
explored: 100 %
Game stats: avg MDP size: 2466, iterations: 9539
MDP stats: avg MDP size: 2096, iterations: 12454

satisfied 352305/360000 members (98%)
--------------------
