2023-12-19 11:51:34,462 - cli.py - This is Paynt version 0.1.0.
2023-12-19 11:51:34,462 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/rover/rover/sketch.templ ...
2023-12-19 11:51:34,462 - sketch.py - assuming sketch in PRISM format...
2023-12-19 11:51:34,464 - prism_parser.py - PRISM model type: MDP
2023-12-19 11:51:34,464 - prism_parser.py - processing hole definitions...
2023-12-19 11:51:34,465 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/rover/rover/sketch.props ...
2023-12-19 11:51:34,466 - prism_parser.py - found the following specification: constraints: P>=3/4 [F "goal"]; 
2023-12-19 11:51:34,466 - jani.py - constructing JANI program...
2023-12-19 11:51:34,468 - jani.py - constructing the quotient...
2023-12-19 11:51:35,081 - jani.py - associating choices of the quotient with hole assignments...
2023-12-19 11:51:35,512 - sketch.py - sketch parsing OK
2023-12-19 11:51:35,512 - sketch.py - constructed explicit quotient having 17003 states and 486003 actions
2023-12-19 11:51:35,512 - sketch.py - found the following specification constraints: P>=3/4 [F "goal"]; 
2023-12-19 11:51:35,724 - mdp_family.py - associating choices with action labels...
2023-12-19 11:51:36,041 - synthesizer.py - evaluation initiated, design space: 38880
> Progress 42.42%, elapsed 516 s, estimated 1216 s, iters = {MDP: 16494}
> Progress 42.618%, elapsed 519 s, estimated 1218 s, iters = {MDP: 16571}
> Progress 42.872%, elapsed 522 s, estimated 1218 s, iters = {MDP: 16670}
> Progress 43.052%, elapsed 525 s, estimated 1220 s, iters = {MDP: 16740}
> Progress 43.261%, elapsed 528 s, estimated 1221 s, iters = {MDP: 16821}
> Progress 43.485%, elapsed 531 s, estimated 1221 s, iters = {MDP: 16908}
> Progress 43.69%, elapsed 534 s, estimated 1222 s, iters = {MDP: 16988}
> Progress 43.894%, elapsed 537 s, estimated 1224 s, iters = {MDP: 17067}
> Progress 44.094%, elapsed 540 s, estimated 1225 s, iters = {MDP: 17145}
> Progress 44.3%, elapsed 543 s, estimated 1226 s, iters = {MDP: 17225}
> Progress 44.516%, elapsed 546 s, estimated 1227 s, iters = {MDP: 17309}
> Progress 44.722%, elapsed 549 s, estimated 1228 s, iters = {MDP: 17389}
> Progress 44.935%, elapsed 552 s, estimated 1229 s, iters = {MDP: 17472}
> Progress 45.159%, elapsed 555 s, estimated 1229 s, iters = {MDP: 17559}
> Progress 45.354%, elapsed 558 s, estimated 1231 s, iters = {MDP: 17635}
> Progress 45.547%, elapsed 561 s, estimated 1232 s, iters = {MDP: 17710}
> Progress 45.769%, elapsed 564 s, estimated 1233 s, iters = {MDP: 17796}
> Progress 45.959%, elapsed 567 s, estimated 1234 s, iters = {MDP: 17870}
> Progress 46.203%, elapsed 570 s, estimated 1234 s, iters = {MDP: 17965}
> Progress 46.391%, elapsed 573 s, estimated 1236 s, iters = {MDP: 18038}
> Progress 46.592%, elapsed 576 s, estimated 1237 s, iters = {MDP: 18116}
> Progress 46.81%, elapsed 579 s, estimated 1238 s, iters = {MDP: 18201}
> Progress 46.993%, elapsed 582 s, estimated 1239 s, iters = {MDP: 18272}
> Progress 47.193%, elapsed 585 s, estimated 1240 s, iters = {MDP: 18350}
> Progress 47.42%, elapsed 588 s, estimated 1241 s, iters = {MDP: 18438}
> Progress 47.613%, elapsed 591 s, estimated 1242 s, iters = {MDP: 18513}
> Progress 47.854%, elapsed 594 s, estimated 1242 s, iters = {MDP: 18607}
> Progress 48.042%, elapsed 597 s, estimated 1244 s, iters = {MDP: 18680}
> Progress 48.253%, elapsed 600 s, estimated 1244 s, iters = {MDP: 18762}
> Progress 48.474%, elapsed 603 s, estimated 1245 s, iters = {MDP: 18848}
> Progress 48.654%, elapsed 606 s, estimated 1246 s, iters = {MDP: 18918}
> Progress 48.86%, elapsed 609 s, estimated 1247 s, iters = {MDP: 18998}
> Progress 49.094%, elapsed 612 s, estimated 1248 s, iters = {MDP: 19089}
> Progress 49.274%, elapsed 615 s, estimated 1249 s, iters = {MDP: 19159}
> Progress 49.511%, elapsed 618 s, estimated 1249 s, iters = {MDP: 19251}
> Progress 49.717%, elapsed 621 s, estimated 1250 s, iters = {MDP: 19331}
> Progress 49.93%, elapsed 624 s, estimated 1251 s, iters = {MDP: 19414}
> Progress 50.149%, elapsed 627 s, estimated 1252 s, iters = {MDP: 19499}
> Progress 50.342%, elapsed 630 s, estimated 1253 s, iters = {MDP: 19574}
> Progress 50.534%, elapsed 633 s, estimated 1254 s, iters = {MDP: 19649}
> Progress 50.756%, elapsed 636 s, estimated 1254 s, iters = {MDP: 19735}
> Progress 50.961%, elapsed 640 s, estimated 1255 s, iters = {MDP: 19815}
> Progress 51.221%, elapsed 643 s, estimated 1255 s, iters = {MDP: 19916}
> Progress 51.404%, elapsed 646 s, estimated 1256 s, iters = {MDP: 19987}
> Progress 51.62%, elapsed 649 s, estimated 1257 s, iters = {MDP: 20071}
> Progress 51.849%, elapsed 652 s, estimated 1257 s, iters = {MDP: 20160}
> Progress 52.052%, elapsed 655 s, estimated 1258 s, iters = {MDP: 20239}
> Progress 52.309%, elapsed 658 s, estimated 1258 s, iters = {MDP: 20339}
> Progress 52.505%, elapsed 661 s, estimated 1259 s, iters = {MDP: 20415}
> Progress 52.721%, elapsed 664 s, estimated 1259 s, iters = {MDP: 20499}
> Progress 52.947%, elapsed 667 s, estimated 1260 s, iters = {MDP: 20587}
> Progress 53.143%, elapsed 670 s, estimated 1261 s, iters = {MDP: 20663}
> Progress 53.379%, elapsed 673 s, estimated 1261 s, iters = {MDP: 20755}
> Progress 53.585%, elapsed 676 s, estimated 1262 s, iters = {MDP: 20835}
> Progress 53.783%, elapsed 679 s, estimated 1262 s, iters = {MDP: 20912}
> Progress 54.025%, elapsed 682 s, estimated 1262 s, iters = {MDP: 21006}
> Progress 54.212%, elapsed 685 s, estimated 1264 s, iters = {MDP: 21079}
> Progress 54.423%, elapsed 688 s, estimated 1264 s, iters = {MDP: 21161}
> Progress 54.645%, elapsed 691 s, estimated 1265 s, iters = {MDP: 21247}
> Progress 54.84%, elapsed 694 s, estimated 1266 s, iters = {MDP: 21323}
> Progress 55.092%, elapsed 697 s, estimated 1265 s, iters = {MDP: 21421}
> Progress 55.254%, elapsed 700 s, estimated 1267 s, iters = {MDP: 21484}
> Progress 55.437%, elapsed 703 s, estimated 1268 s, iters = {MDP: 21555}
> Progress 55.671%, elapsed 706 s, estimated 1269 s, iters = {MDP: 21646}
> Progress 55.841%, elapsed 709 s, estimated 1270 s, iters = {MDP: 21712}
> Progress 56.041%, elapsed 712 s, estimated 1271 s, iters = {MDP: 21790}
> Progress 56.265%, elapsed 715 s, estimated 1271 s, iters = {MDP: 21877}
> Progress 56.46%, elapsed 718 s, estimated 1272 s, iters = {MDP: 21953}
> Progress 56.684%, elapsed 721 s, estimated 1273 s, iters = {MDP: 22040}
