2024-02-04 12:27:51,665 - cli.py - This is Paynt version 0.1.0.
2024-02-04 12:27:51,665 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/tac24/dpm-demo/sketch.templ ...
2024-02-04 12:27:51,665 - sketch.py - assuming sketch in PRISM format...
2024-02-04 12:27:51,667 - prism_parser.py - PRISM model type: DTMC
2024-02-04 12:27:51,667 - prism_parser.py - processing hole definitions...
2024-02-04 12:27:51,667 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/tac24/dpm-demo/sketch.props ...
2024-02-04 12:27:51,668 - prism_parser.py - found the following specification: constraints: R[exp]{"requests_lost"}<=1 [F "finished"]; optimality: R[exp]{"power"}min=? [F "finished"] 
2024-02-04 12:27:51,668 - jani.py - constructing JANI program...
2024-02-04 12:27:51,681 - jani.py - constructing the quotient...
2024-02-04 12:27:51,903 - jani.py - associating choices of the quotient with hole assignments...
2024-02-04 12:27:52,093 - sketch.py - sketch parsing OK
2024-02-04 12:27:52,094 - sketch.py - constructed explicit quotient having 1752 states and 144030 actions
2024-02-04 12:27:52,094 - sketch.py - found the following specification constraints: R[exp]{"requests_lost"}<=1 [F "finished"]; optimality: R[exp]{"power"}min=? [F "finished"] 
2024-02-04 12:27:52,144 - synthesizer.py - synthesis initiated, design space: 16200
2024-02-04 12:27:52,181 - smt.py - using Python Z3 for SMT solving.
> progress 132.388%, elapsed 470 s, estimated 355 s, iters = {DTMC: 9854}, opt = 86936.972
> progress 133.975%, elapsed 473 s, estimated 353 s, iters = {DTMC: 9979}, opt = 86936.972
> progress 134.518%, elapsed 477 s, estimated 354 s, iters = {DTMC: 10025}, opt = 86936.972
> progress 134.858%, elapsed 480 s, estimated 355 s, iters = {DTMC: 10057}, opt = 86936.972
> progress 135.574%, elapsed 483 s, estimated 356 s, iters = {DTMC: 10114}, opt = 86936.972
> progress 136.154%, elapsed 486 s, estimated 356 s, iters = {DTMC: 10161}, opt = 86936.972
> progress 136.734%, elapsed 489 s, estimated 357 s, iters = {DTMC: 10208}, opt = 86936.972
> progress 137.611%, elapsed 492 s, estimated 357 s, iters = {DTMC: 10279}, opt = 86936.972
> progress 138.413%, elapsed 495 s, estimated 357 s, iters = {DTMC: 10344}, opt = 86936.972
> progress 139.03%, elapsed 498 s, estimated 358 s, iters = {DTMC: 10394}, opt = 86936.972
> progress 139.697%, elapsed 501 s, estimated 358 s, iters = {DTMC: 10448}, opt = 86936.972
> progress 141.487%, elapsed 504 s, estimated 356 s, iters = {DTMC: 10592}, opt = 86936.972
> progress 142.216%, elapsed 507 s, estimated 356 s, iters = {DTMC: 10649}, opt = 86936.972
> progress 142.783%, elapsed 510 s, estimated 357 s, iters = {DTMC: 10695}, opt = 86936.972
> progress 143.734%, elapsed 513 s, estimated 357 s, iters = {DTMC: 10772}, opt = 86936.972
> progress 144.549%, elapsed 516 s, estimated 357 s, iters = {DTMC: 10838}, opt = 86936.972
> progress 145.691%, elapsed 519 s, estimated 356 s, iters = {DTMC: 10932}, opt = 86936.972
> progress 146.259%, elapsed 522 s, estimated 357 s, iters = {DTMC: 10978}, opt = 86936.972
> progress 146.679%, elapsed 525 s, estimated 358 s, iters = {DTMC: 11012}, opt = 86936.972
> progress 147.413%, elapsed 528 s, estimated 358 s, iters = {DTMC: 11070}, opt = 86936.972
> progress 148.623%, elapsed 531 s, estimated 357 s, iters = {DTMC: 11172}, opt = 86936.972
> progress 149.512%, elapsed 534 s, estimated 357 s, iters = {DTMC: 11238}, opt = 86936.972
> progress 150.438%, elapsed 537 s, estimated 357 s, iters = {DTMC: 11311}, opt = 86936.972
> progress 151.592%, elapsed 540 s, estimated 356 s, iters = {DTMC: 11401}, opt = 86936.972
> progress 153.0%, elapsed 543 s, estimated 355 s, iters = {DTMC: 11527}, opt = 86936.972
> progress 154.191%, elapsed 546 s, estimated 354 s, iters = {DTMC: 11629}, opt = 86936.972
> progress 155.08%, elapsed 549 s, estimated 354 s, iters = {DTMC: 11701}, opt = 86936.972
> progress 155.895%, elapsed 552 s, estimated 354 s, iters = {DTMC: 11765}, opt = 86936.972
> progress 156.376%, elapsed 555 s, estimated 355 s, iters = {DTMC: 11804}, opt = 86936.972
> progress 157.277%, elapsed 558 s, estimated 355 s, iters = {DTMC: 11873}, opt = 86936.972
> progress 158.29%, elapsed 561 s, estimated 355 s, iters = {DTMC: 11949}, opt = 86936.972
> progress 159.228%, elapsed 565 s, estimated 354 s, iters = {DTMC: 12025}, opt = 86936.972
> progress 159.672%, elapsed 568 s, estimated 355 s, iters = {DTMC: 12061}, opt = 86936.972
> progress 160.043%, elapsed 571 s, estimated 356 s, iters = {DTMC: 12091}, opt = 86936.972
> progress 160.524%, elapsed 574 s, estimated 357 s, iters = {DTMC: 12130}, opt = 86936.972
> progress 161.018%, elapsed 577 s, estimated 358 s, iters = {DTMC: 12170}, opt = 86936.972
> progress 161.574%, elapsed 580 s, estimated 359 s, iters = {DTMC: 12215}, opt = 86936.972
> progress 162.561%, elapsed 583 s, estimated 358 s, iters = {DTMC: 12293}, opt = 86936.972
> progress 163.364%, elapsed 586 s, estimated 358 s, iters = {DTMC: 12356}, opt = 86936.972
> progress 163.771%, elapsed 589 s, estimated 359 s, iters = {DTMC: 12389}, opt = 86936.972
> progress 164.783%, elapsed 592 s, estimated 359 s, iters = {DTMC: 12469}, opt = 86936.972
