2024-01-09 23:48:22,002 - cli.py - This is Paynt version 0.1.0.
2024-01-09 23:48:22,002 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/rover-100-big/sketch.templ ...
2024-01-09 23:48:22,002 - sketch.py - assuming sketch in PRISM format...
2024-01-09 23:48:22,004 - prism_parser.py - PRISM model type: MDP
2024-01-09 23:48:22,004 - prism_parser.py - processing hole definitions...
2024-01-09 23:48:22,005 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/rover-100-big/sketch.props ...
2024-01-09 23:48:22,005 - prism_parser.py - found the following specification: constraints: P>=4/5 [F "goal"]; 
2024-01-09 23:48:22,005 - jani.py - constructing JANI program...
2024-01-09 23:48:22,009 - jani.py - constructing the quotient...
2024-01-09 23:48:22,087 - jani.py - associating choices of the quotient with hole assignments...
2024-01-09 23:48:22,131 - sketch.py - sketch parsing OK
2024-01-09 23:48:22,131 - sketch.py - constructed explicit quotient having 1703 states and 50203 actions
2024-01-09 23:48:22,132 - sketch.py - found the following specification constraints: P>=4/5 [F "goal"]; 
2024-01-09 23:48:22,138 - mdp_family.py - associating choices with action labels...
2024-01-09 23:48:22,189 - synthesizer.py - evaluation initiated, design space: 24300000
> Progress 60.995%, elapsed 489 s, estimated 802 s, iters = {game: 113369, MDP: 115842}
> Progress 61.378%, elapsed 492 s, estimated 802 s, iters = {game: 114083, MDP: 116423}
> Progress 61.696%, elapsed 495 s, estimated 802 s, iters = {game: 114778, MDP: 116997}
> Progress 62.178%, elapsed 498 s, estimated 801 s, iters = {game: 115571, MDP: 117916}
> Progress 62.325%, elapsed 501 s, estimated 804 s, iters = {game: 116412, MDP: 118755}
> Progress 62.862%, elapsed 504 s, estimated 802 s, iters = {game: 117108, MDP: 119288}
> Progress 63.122%, elapsed 507 s, estimated 803 s, iters = {game: 117844, MDP: 119899}
> Progress 63.463%, elapsed 510 s, estimated 804 s, iters = {game: 118527, MDP: 120458}
> Progress 63.749%, elapsed 513 s, estimated 805 s, iters = {game: 119244, MDP: 121147}
> Progress 64.034%, elapsed 516 s, estimated 806 s, iters = {game: 119886, MDP: 121670}
> Progress 64.36%, elapsed 519 s, estimated 806 s, iters = {game: 120642, MDP: 122384}
> Progress 64.814%, elapsed 522 s, estimated 805 s, iters = {game: 121352, MDP: 122952}
> Progress 65.103%, elapsed 525 s, estimated 806 s, iters = {game: 122009, MDP: 123499}
> Progress 65.568%, elapsed 528 s, estimated 805 s, iters = {game: 122926, MDP: 124710}
> Progress 65.765%, elapsed 531 s, estimated 807 s, iters = {game: 123720, MDP: 125310}
> Progress 66.327%, elapsed 534 s, estimated 805 s, iters = {game: 124415, MDP: 125846}
> Progress 66.513%, elapsed 537 s, estimated 807 s, iters = {game: 125119, MDP: 126439}
> Progress 66.676%, elapsed 540 s, estimated 810 s, iters = {game: 125657, MDP: 126993}
> Progress 66.704%, elapsed 543 s, estimated 814 s, iters = {game: 126304, MDP: 127968}
> Progress 66.733%, elapsed 546 s, estimated 818 s, iters = {game: 126880, MDP: 128795}
> Progress 66.769%, elapsed 549 s, estimated 822 s, iters = {game: 127558, MDP: 129824}
> Progress 66.8%, elapsed 552 s, estimated 826 s, iters = {game: 128210, MDP: 130818}
> Progress 66.831%, elapsed 555 s, estimated 830 s, iters = {game: 128740, MDP: 131619}
> Progress 66.886%, elapsed 558 s, estimated 834 s, iters = {game: 129515, MDP: 132749}
> Progress 66.948%, elapsed 561 s, estimated 838 s, iters = {game: 130157, MDP: 133716}
> Progress 67.01%, elapsed 564 s, estimated 842 s, iters = {game: 130809, MDP: 134577}
> Progress 67.072%, elapsed 567 s, estimated 845 s, iters = {game: 131534, MDP: 135744}
> Progress 67.133%, elapsed 570 s, estimated 849 s, iters = {game: 132177, MDP: 136700}
> Progress 67.193%, elapsed 573 s, estimated 853 s, iters = {game: 132813, MDP: 137583}
> Progress 67.353%, elapsed 576 s, estimated 855 s, iters = {game: 133497, MDP: 138374}
> Progress 67.673%, elapsed 579 s, estimated 855 s, iters = {game: 134258, MDP: 139156}
> Progress 67.901%, elapsed 582 s, estimated 857 s, iters = {game: 135003, MDP: 139815}
> Progress 68.181%, elapsed 585 s, estimated 858 s, iters = {game: 135703, MDP: 140393}
> Progress 68.595%, elapsed 588 s, estimated 857 s, iters = {game: 136397, MDP: 140960}
> Progress 68.984%, elapsed 591 s, estimated 857 s, iters = {game: 137141, MDP: 141587}
> Progress 69.218%, elapsed 594 s, estimated 858 s, iters = {game: 137867, MDP: 142279}
> Progress 69.656%, elapsed 597 s, estimated 857 s, iters = {game: 138813, MDP: 143580}
> Progress 69.943%, elapsed 600 s, estimated 858 s, iters = {game: 139530, MDP: 144234}
> Progress 70.231%, elapsed 603 s, estimated 859 s, iters = {game: 140250, MDP: 144908}
> Progress 70.545%, elapsed 606 s, estimated 859 s, iters = {game: 140962, MDP: 145636}
> Progress 70.856%, elapsed 609 s, estimated 859 s, iters = {game: 141683, MDP: 146233}
> Progress 71.149%, elapsed 612 s, estimated 860 s, iters = {game: 142461, MDP: 147016}
> Progress 71.335%, elapsed 615 s, estimated 862 s, iters = {game: 143196, MDP: 147636}
> Progress 71.866%, elapsed 618 s, estimated 860 s, iters = {game: 143895, MDP: 148194}
> Progress 72.255%, elapsed 621 s, estimated 859 s, iters = {game: 144623, MDP: 148799}
> Progress 72.443%, elapsed 624 s, estimated 861 s, iters = {game: 145348, MDP: 149433}
> Progress 72.901%, elapsed 627 s, estimated 860 s, iters = {game: 146257, MDP: 150770}
> Progress 73.348%, elapsed 630 s, estimated 859 s, iters = {game: 147044, MDP: 151362}
> Progress 73.634%, elapsed 633 s, estimated 860 s, iters = {game: 147692, MDP: 151897}
> Progress 73.919%, elapsed 636 s, estimated 860 s, iters = {game: 148408, MDP: 152630}
> Progress 74.22%, elapsed 639 s, estimated 861 s, iters = {game: 149122, MDP: 153224}
> Progress 74.54%, elapsed 642 s, estimated 861 s, iters = {game: 149915, MDP: 154012}
> Progress 74.724%, elapsed 645 s, estimated 863 s, iters = {game: 150588, MDP: 154580}
> Progress 75.214%, elapsed 648 s, estimated 861 s, iters = {game: 151320, MDP: 155167}
> Progress 75.594%, elapsed 651 s, estimated 861 s, iters = {game: 152040, MDP: 155773}
> Progress 75.823%, elapsed 654 s, estimated 862 s, iters = {game: 152762, MDP: 156401}
> Progress 76.322%, elapsed 657 s, estimated 861 s, iters = {game: 153738, MDP: 157776}
> Progress 76.718%, elapsed 660 s, estimated 860 s, iters = {game: 154491, MDP: 158355}
> Progress 76.998%, elapsed 663 s, estimated 861 s, iters = {game: 155154, MDP: 158909}
> Progress 77.291%, elapsed 666 s, estimated 862 s, iters = {game: 155916, MDP: 159675}
> Progress 77.597%, elapsed 669 s, estimated 862 s, iters = {game: 156705, MDP: 160480}
> Progress 77.913%, elapsed 672 s, estimated 862 s, iters = {game: 157470, MDP: 161102}
> Progress 78.166%, elapsed 675 s, estimated 863 s, iters = {game: 158132, MDP: 161651}
> Progress 78.532%, elapsed 678 s, estimated 863 s, iters = {game: 158642, MDP: 162061}
> Progress 78.922%, elapsed 681 s, estimated 863 s, iters = {game: 159390, MDP: 162686}
> Progress 79.11%, elapsed 684 s, estimated 865 s, iters = {game: 160138, MDP: 163340}
> Progress 79.593%, elapsed 687 s, estimated 863 s, iters = {game: 161076, MDP: 164701}
> Progress 80.0%, elapsed 690 s, estimated 862 s, iters = {game: 161906, MDP: 165328}
> Progress 80.285%, elapsed 693 s, estimated 863 s, iters = {game: 162589, MDP: 165892}
> Progress 80.579%, elapsed 696 s, estimated 864 s, iters = {game: 163334, MDP: 166647}
> Progress 80.879%, elapsed 699 s, estimated 864 s, iters = {game: 164066, MDP: 167260}
> Progress 81.204%, elapsed 702 s, estimated 864 s, iters = {game: 164881, MDP: 168065}
> Progress 81.391%, elapsed 705 s, estimated 866 s, iters = {game: 165583, MDP: 168658}
> Progress 81.881%, elapsed 708 s, estimated 865 s, iters = {game: 166342, MDP: 169267}
> Progress 82.314%, elapsed 711 s, estimated 864 s, iters = {game: 167089, MDP: 169894}
> Progress 82.552%, elapsed 714 s, estimated 865 s, iters = {game: 167841, MDP: 170588}
> Progress 82.992%, elapsed 717 s, estimated 864 s, iters = {game: 168817, MDP: 171915}
> Progress 83.337%, elapsed 720 s, estimated 864 s, iters = {game: 169573, MDP: 172595}
> Progress 83.399%, elapsed 723 s, estimated 867 s, iters = {game: 170200, MDP: 173461}
> Progress 83.445%, elapsed 726 s, estimated 870 s, iters = {game: 170907, MDP: 174543}
> Progress 83.491%, elapsed 729 s, estimated 873 s, iters = {game: 171558, MDP: 175535}
> Progress 83.552%, elapsed 732 s, estimated 876 s, iters = {game: 172315, MDP: 176684}
> Progress 83.615%, elapsed 735 s, estimated 879 s, iters = {game: 173011, MDP: 177728}
> Progress 83.691%, elapsed 738 s, estimated 882 s, iters = {game: 173657, MDP: 178696}
> Progress 83.769%, elapsed 741 s, estimated 885 s, iters = {game: 174412, MDP: 179798}
> Progress 83.815%, elapsed 744 s, estimated 888 s, iters = {game: 175115, MDP: 180879}
