2024-01-17 19:36:16,441 - cli.py - This is Paynt version 0.1.0.
2024-01-17 19:36:16,441 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/dpm-switch-big-q10/sketch.templ ...
2024-01-17 19:36:16,441 - sketch.py - assuming sketch in PRISM format...
2024-01-17 19:36:16,444 - prism_parser.py - PRISM model type: MDP
2024-01-17 19:36:16,444 - prism_parser.py - processing hole definitions...
2024-01-17 19:36:16,444 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/dpm-switch-big-q10/sketch.props ...
2024-01-17 19:36:16,445 - prism_parser.py - found the following specification: constraints: P>=9/10 [F ((bat = 0) & (lost = 0))]; 
2024-01-17 19:36:16,445 - jani.py - constructing JANI program...
2024-01-17 19:36:16,449 - jani.py - constructing the quotient...
2024-01-17 19:36:16,871 - jani.py - associating choices of the quotient with hole assignments...
2024-01-17 19:36:17,020 - sketch.py - sketch parsing OK
2024-01-17 19:36:17,021 - sketch.py - constructed explicit quotient having 8767 states and 117194 actions
2024-01-17 19:36:17,021 - sketch.py - found the following specification constraints: P>=9/10 [F ((bat = 0) & (lost = 0))]; 
2024-01-17 19:36:17,108 - mdp_family.py - associating choices with action labels...
2024-01-17 19:36:17,183 - synthesizer.py - evaluation initiated, design space: 131220
> progress 76.236%, elapsed 409 s, estimated 537 s, iters = {game: 2440, MDP: 2948}
> progress 76.47%, elapsed 412 s, estimated 539 s, iters = {game: 2459, MDP: 2978}
> progress 76.543%, elapsed 415 s, estimated 542 s, iters = {game: 2478, MDP: 3005}
> progress 76.72%, elapsed 418 s, estimated 545 s, iters = {game: 2496, MDP: 3039}
> progress 76.872%, elapsed 421 s, estimated 548 s, iters = {game: 2515, MDP: 3062}
> progress 76.889%, elapsed 424 s, estimated 552 s, iters = {game: 2533, MDP: 3099}
> progress 77.201%, elapsed 427 s, estimated 554 s, iters = {game: 2553, MDP: 3117}
> progress 77.219%, elapsed 431 s, estimated 558 s, iters = {game: 2571, MDP: 3156}
> progress 77.453%, elapsed 434 s, estimated 560 s, iters = {game: 2590, MDP: 3180}
> progress 77.471%, elapsed 437 s, estimated 564 s, iters = {game: 2608, MDP: 3213}
> progress 77.703%, elapsed 440 s, estimated 566 s, iters = {game: 2626, MDP: 3243}
> progress 77.777%, elapsed 443 s, estimated 569 s, iters = {game: 2645, MDP: 3269}
> progress 77.953%, elapsed 446 s, estimated 572 s, iters = {game: 2662, MDP: 3298}
> progress 78.271%, elapsed 449 s, estimated 573 s, iters = {game: 2681, MDP: 3321}
> progress 78.449%, elapsed 452 s, estimated 576 s, iters = {game: 2700, MDP: 3353}
> progress 78.683%, elapsed 455 s, estimated 578 s, iters = {game: 2720, MDP: 3375}
> progress 78.702%, elapsed 458 s, estimated 582 s, iters = {game: 2739, MDP: 3413}
> progress 78.936%, elapsed 461 s, estimated 584 s, iters = {game: 2759, MDP: 3434}
> progress 78.957%, elapsed 464 s, estimated 588 s, iters = {game: 2777, MDP: 3466}
> progress 79.189%, elapsed 467 s, estimated 590 s, iters = {game: 2796, MDP: 3497}
> progress 79.219%, elapsed 470 s, estimated 594 s, iters = {game: 2816, MDP: 3517}
> progress 79.433%, elapsed 473 s, estimated 596 s, iters = {game: 2835, MDP: 3543}
> progress 79.67%, elapsed 476 s, estimated 598 s, iters = {game: 2855, MDP: 3571}
> progress 79.686%, elapsed 479 s, estimated 602 s, iters = {game: 2873, MDP: 3605}
> progress 79.853%, elapsed 483 s, estimated 604 s, iters = {game: 2892, MDP: 3625}
--------------------
Policy tree summary:
found 2136 satisfying policies for 29160/131220 family members (22.0%)
policy tree has 4335 nodes, 2491 of them are leaves:
	  solvable leaves: 2136 (avg.size: 13.7)
	unsolvable leaves: 355 (avg.size: 287.5)
	 singleton leaves: 1433
--------------------
2024-01-17 19:44:22,176 - policy_tree.py - post-processing the policy tree...
2024-01-17 19:44:22,176 - policy_tree.py - merging SAT siblings solved by non-exclusively compatible policies...
2024-01-17 19:44:30,823 - policy_tree.py - additional 2029 MDPs were model checked
2024-01-17 19:44:30,823 - policy_tree.py - removed 3356 nodes
2024-01-17 19:44:30,823 - policy_tree.py - merging all exclusively compatible policies...
2024-01-17 19:44:30,972 - policy_tree.py - removed 226 policies
2024-01-17 19:44:30,972 - policy_tree.py - reducing tree height...
2024-01-17 19:44:30,974 - policy_tree.py - removed 91 nodes
2024-01-17 19:44:30,974 - policy_tree.py - merging siblings that have the same solution...
2024-01-17 19:44:30,975 - policy_tree.py - removed 99 nodes
2024-01-17 19:44:30,975 - policy_tree.py - postprocessing took 8 s
--------------------
Policy tree summary:
found 20 satisfying policies for 29160/131220 family members (22.0%)
policy tree has 789 nodes, 502 of them are leaves:
	  solvable leaves: 246 (avg.size: 118.5)
	unsolvable leaves: 256 (avg.size: 398.7)
	 singleton leaves: 0
--------------------
2024-01-17 19:44:30,980 - synthesizer.py - evaluation finished
--------------------
Synthesis summary:
constraint 1: P>=9/10 [F ((bat = 0) & (lost = 0))]

method: AR (policy tree), synthesis time: 493.8 s
number of holes: 10, family size: 131220, quotient: 8767 states / 117194 actions
explored: 100 %
Game stats: avg MDP size: 8767, iterations: 2902
MDP stats: avg MDP size: 8767, iterations: 3632

satisfied 29160/131220 members (22%)
--------------------
model info:	states	choices	MDPs	states*MDPs	SAT MDPs	SAT %
8767 117194 131220 1150405740 29160 22.22
synthesis info:	time	nodes	nodes (merged)	leaves	leaves (merged)	leaves (merged) / MDPs %	policies	policies (merged)	policies (merged) / SAT %	pp time	pp time %	game iters	MDP iters	iters/MDPs %
493 4335 789 2491 502 0.38 2136 20 0.07 8 1.62 2902 3632 4.98

